"AbilityDefBPerfectAim.Description.Details";"PASSIVE: The Bounty Hunter's attacks bypass armor and deal structure damage to the target.";"ПАССИВНО: атаки охотника за головами минуют бронюи бьют сразу по структуре цели.";;"#000000";"#FFFFFF"
"AbilityDefBPerfectAim.Description.Name";"Perfect Aim";"Глаз охотника";;"#000000";"#FFFFFF"
"AbilityDefBPerfectAim.ShortDesc";"Hits Bypass Armor";"Бьёт минуя броню";;"#000000";"#FFFFFF"
"AbilityDefBPerfectAim.StatusEffect-BH-PerfectAimAttackFloatie.EffectData1.Details";"PERFECT AIM";"ГЛАЗ ОХОТНИКА";;"#000000";"#FFFFFF"
"AbilityDefBPerfectAim.StatusEffect-BH-PerfectAimAttackFloatie.EffectData1.Name";"PERFECT AIM";"ГЛАЗ ОХОТНИКА";;"#000000";"#FFFFFF"
"AbilityDefBPerfectAim.StatusEffect-BH-PerfectAimHitFloatie.EffectData2.Details";"ARMOR BYPASSED";"МИНУЯ БРОНЮ";;"#000000";"#FFFFFF"
"AbilityDefBPerfectAim.StatusEffect-BH-PerfectAimHitFloatie.EffectData2.Name";"ARMOR BYPASSED";"МИНУЯ БРОНЮ";;"#000000";"#FFFFFF"
"AbilityDefBPerfectAim.StatusEffect-BH-PerfectAimStructureDamage.EffectData0.Details";"The Bounty Hunter's attacks bypass armor and deal structure damage to the target.";"Охотник за головами атакует в обход брони сразу по структуре цели.";;"#000000";"#FFFFFF"
"AbilityDefBPerfectAim.StatusEffect-BH-PerfectAimStructureDamage.EffectData0.Name";"PERFECT AIM";"ГЛАЗ ОХОТНИКА";;"#000000";"#FFFFFF"
"AbilityDefBWCL.Description.Details";"PASSIVE: Black Widow Company units have bonus movement speed, a vastly increased Critical Hit chance, and 20% damage reduction.";"ПАССИВНО: юниты из Black Widow Company двигаются быстрее, стреляют точнее и имеют -20% получ. урон.";;"#000000";"#FFFFFF"
"AbilityDefBWCL.Description.Name";"Black Widow Command Lance";"Главный отряд Чёрной Вдовы";;"#000000";"#FFFFFF"
"AbilityDefBWCL.ShortDesc";"+ 25% Movement, + 20% Damage Reduction, and + 75% Critical Chance";"+25% движение +20% ниже урон и +75% шанс крита";;"#000000";"#FFFFFF"
"AbilityDefBWCL.StatusEffect-BWCL-CriticalChance.EffectData1.Details";"Black Widow Company units have bonus movement speed and a vastly increased Critical Hit chance, and they take [AMT] less damage.";"Юниты из Black Widow Company двигаются быстрее, стреляют с повышенным шансом крита и получают на [AMT] меньше урона.";;"#000000";"#FFFFFF"
"AbilityDefBWCL.StatusEffect-BWCL-CriticalChance.EffectData1.Name";"BLACK WIDOW COMMAND LANCE";"ГЛАВНЫЙ ОТРЯД ЧЁРНОЙ ВДОВЫ";;"#000000";"#FFFFFF"
"AbilityDefBWCL.StatusEffect-BWCL-DamageReduction.EffectData2.Details";"Black Widow Company units have bonus movement speed and a vastly increased Critical Hit chance, and they take [AMT] less damage.";"Юниты из Black Widow Company двигаются быстрее, стреляют с повышенным шансом крита и получают на [AMT] меньше урона.";;"#000000";"#FFFFFF"
"AbilityDefBWCL.StatusEffect-BWCL-DamageReduction.EffectData2.Name";"BLACK WIDOW COMMAND LANCE";"ГЛАВНЫЙ ОТРЯД ЧЁРНОЙ ВДОВЫ";;"#000000";"#FFFFFF"
"AbilityDefBWCL.StatusEffect-BWCL-WalkSpeed.EffectData0.Details";"Black Widow Company units have bonus movement speed and a vastly increased Critical Hit chance, and they take [AMT] less damage.";"Юниты из Black Widow Company двигаются быстрее, стреляют с повышенным шансом крита и получают на [AMT] меньше урона.";;"#000000";"#FFFFFF"
"AbilityDefBWCL.StatusEffect-BWCL-WalkSpeed.EffectData0.Name";"BLACK WIDOW COMMAND LANCE";"ГЛАВНЫЙ ОТРЯД ЧЁРНОЙ ВДОВЫ";;"#000000";"#FFFFFF"
"AbilityDefBWidowsKiss.Description.Details";"PASSIVE: Natasha Kerensky's attacks target and wrench her opponent's Actuators, slowing their movement speed.";"ПАССИВНО: атаки Наташи Керенской калечат приводы, замедляя противника.";;"#000000";"#FFFFFF"
"AbilityDefBWidowsKiss.Description.Name";"Widow's Kiss";"Поцелуй вдовы";;"#000000";"#FFFFFF"
"AbilityDefBWidowsKiss.ShortDesc";"Hits Slow Movement";"Попадания замедляют движение";;"#000000";"#FFFFFF"
"AbilityDefBWidowsKiss.StatusEffect-BWCL-WidowsKissFloatie.EffectData0.Details";"WIDOW'S KISS";"ПОЦЕЛУЙ ВДОВЫ";;"#000000";"#FFFFFF"
"AbilityDefBWidowsKiss.StatusEffect-BWCL-WidowsKissFloatie.EffectData0.Name";"WIDOW'S KISS";"ПОЦЕЛУЙ ВДОВЫ";;"#000000";"#FFFFFF"
"AbilityDefBWidowsKiss.StatusEffect-BWCL-WidowsKissWalkSpeed.EffectData1.Details";"Natasha Kerensky's attacks target and wrench her opponent's Actuators, slowing their movement speed.";"Атаки Наташи Керенской калечат приводы, замедляя противника.";;"#000000";"#FFFFFF"
"AbilityDefBWidowsKiss.StatusEffect-BWCL-WidowsKissWalkSpeed.EffectData1.Name";"ACTUATOR WRENCHED";"ПРИВОД ВЫВЕРНУТ";;"#000000";"#FFFFFF"
"AbilityDefFireAndSteel.Description.Details";"PASSIVE: Victoria Espinosa's attacks apply a lasting heat effect and massively hamper the target's ability to fight.";"ПАССИВНО: атаки Виктории Эспинозы вызывают длительный тепловой эффект и значительно снижают способность цели сражаться.";;"#000000";"#FFFFFF"
"AbilityDefFireAndSteel.Description.Name";"Fire & Steel";"Огонь и сталь";;"#000000";"#FFFFFF"
"AbilityDefFireAndSteel.ShortDesc";"Hits Ruin Aim";"Попадания ослабляют прицеливание";;"#000000";"#FFFFFF"
"AbilityDefFireAndSteel.StatusEffect-Flamer-RangeIncreaseLong.EffectData2.Details";"Increases max range bracket of support weapons by [AMT]m.";"Увеличенные на [AMT]м макс. дистанции для орудий поддержки.";;"#000000";"#FFFFFF"
"AbilityDefFireAndSteel.StatusEffect-Flamer-RangeIncreaseLong.EffectData2.Name";"FLAMER PROJECTION";"FLAMER PROJECTION";;"#000000";"#FFFFFF"
"AbilityDefFireAndSteel.StatusEffect-Flamer-RangeIncreaseMax.EffectData1.Details";"Increases max range bracket of support weapons by [AMT]m.";"Увеличенные на [AMT]м макс. дистанции для орудий поддержки.";;"#000000";"#FFFFFF"
"AbilityDefFireAndSteel.StatusEffect-Flamer-RangeIncreaseMax.EffectData1.Name";"FLAMER PROJECTION";"FLAMER PROJECTION";;"#000000";"#FFFFFF"
"AbilityDefFireAndSteel.StatusEffect-Victoria-Floatie.EffectData0.Details";"FIRE & STEEL!";"ОГОНЬ И СТАЛЬ!";;"#000000";"#FFFFFF"
"AbilityDefFireAndSteel.StatusEffect-Victoria-Floatie.EffectData0.Name";"FIRE & STEEL!";"ОГОНЬ И СТАЛЬ!";;"#000000";"#FFFFFF"
"AbilityDefG5.BanditCalledShot.EffectData0.Details";"Called Shots twice as reliable";"Offensive push вдвое надёжнее";;"#000000";"#FFFFFF"
"AbilityDefG5.BanditCalledShot.EffectData0.Name";"Improved Called Shot";"Улучшенный Offensive Push";;"#000000";"#FFFFFF"
"AbilityDefG5.BanditClustering.EffectData2.Details";"Substantially increases the clustering of this unit's LRM weapons and boosts the stability damage of SRMs by 50%.";"Существенно увеличивает кучность LRM и увеличивает урон устойчивости SRM на 50%";;"#000000";"#FFFFFF"
"AbilityDefG5.BanditClustering.EffectData2.Name";"MISSILERY SUITE";"РАКЕТНЫЙ КОМПЛЕКТ";;"#000000";"#FFFFFF"
"AbilityDefG5.BanditCrits.EffectData1.Details";"Missile weapon attacks have their hit improved by 3.";"Шанс попадания ракетного оружия повышен на 3.";;"#000000";"#FFFFFF"
"AbilityDefG5.BanditCrits.EffectData1.Name";"Missile WEAPON HIT CHANCE IMPROVED";"ШАНС ПОПАДАНИЯ РАКЕТНОГО ОРУЖИЯ ПОВЫШЕН";;"#000000";"#FFFFFF"
"AbilityDefG5.Description.Details";"25% Increased Critical Strike Chance. +4 to Clustering Roll modifiers. +5% to Called Shot Multiplier.";"25% выше шанс крита. +4 шанс кластеризации. +5% к offensive push.";;"#000000";"#FFFFFF"
"AbilityDefG5.Description.Name";"Bandit";"Бандит";;"#000000";"#FFFFFF"
"AbilityDefG8.Description.Details";"ACTION: Overcharge your Mech's system to gain +1 Accuracy, +10% Damage, -10% Heat Generated and cool 40 Heat. Generate 10 Extra Heat per turn during the 4 Turn Cooldown.";"АКТИВАЦИЯ: перегружает системы меха ради получения +1 к точности, +10% к урону, -10% к нагреву и 40 ед. охлаждения. Даёт 10 доп. нагрева за ход, 4 хода.";;"#000000";"#FFFFFF"
"AbilityDefG8.Description.Name";"Warlord";"Воевода";;"#000000";"#FFFFFF"
"AbilityDefG8.StatusEffect-WarlordDamage.EffectData0.Details";"Increased Weapon Damage Damage.";"Увелич. урон из оружия";;"#000000";"#FFFFFF"
"AbilityDefG8.StatusEffect-WarlordDamage.EffectData0.Name";"Overcharge";"Перегрузка";;"#000000";"#FFFFFF"
"AbilityDefG8.Warlord-Heat.EffectData2.Details";"-40 Heat";"-40 тепла";;"#000000";"#FFFFFF"
"AbilityDefG8.Warlord-Heat.EffectData2.Name";"Flush Coolant";"Приток охлаждения";;"#000000";"#FFFFFF"
"AbilityDefG8.Warlord-Heat2.EffectData4.Details";"-50 Heat";"-50 тепла";;"#000000";"#FFFFFF"
"AbilityDefG8.Warlord-Heat2.EffectData4.Name";"Flush Coolant2";"Приток охлаждения2";;"#000000";"#FFFFFF"
"AbilityDefG8.Warlord-Heatpenalty.EffectData3.Details";"+10 Heat Generated";"+10 нагрева";;"#000000";"#FFFFFF"
"AbilityDefG8.Warlord-Heatpenalty.EffectData3.Name";"Taxed Coolant";"Уменьш. охлаждение";;"#000000";"#FFFFFF"
"AbilityDefG8.Warlord-TO-HIT.EffectData1.Details";"+1 Accuracy";"+1 точность";;"#000000";"#FFFFFF"
"AbilityDefG8.Warlord-TO-HIT.EffectData1.Name";"Targeting";"Прицеливание";;"#000000";"#FFFFFF"
"AbilityDefGu5.Description.Details";"PASSIVE: Braces after Melee and DFA. +1 Ini Injury&Melee Resist.";"ПАССИВНО: укрепление после рукоп. атаки и DFA. +1 к баз. сопр. ранению пилота.";;"#000000";"#FFFFFF"
"AbilityDefGu5.Description.Name";"JUGGERNAUT";"ДЖАГГЕРНАУТ";;"#000000";"#FFFFFF"
"AbilityDefGu8.Description.Details";"ACTION: A deadly precision Attack with 50% extra damage, +2 chance to hit and 30% reduced DFA self damage. Works for both DFA and Melee attacks. 4 turn cooldown with -1 defense. +1 Ini Injury&Melee Resist.";"АКТИВАЦИЯ: высокоточная атака с 50% доп. урона, +2 шансом попасть и -30% DFA-урона по себе. Работает как для DFA, так и для рукоп. атак. Перезарядка 4 хода при -1 защиты. +1 к баз. сопр. ранению пилота.";;"#000000";"#FFFFFF"
"AbilityDefGu8.Description.Name";"BERSERKER";"БЕРСЕРК";;"#000000";"#FFFFFF"
"AbilityDefGu8.GU8DFA.EffectData2.Details";"Melee attacks deal 10% more damage.";"Рукоп. атаки наносят на 10% больше урона.";;"#000000";"#FFFFFF"
"AbilityDefGu8.GU8DFA.EffectData2.Name";"MELEE DAMAGE INCREASED";"РУКОП. УРОН ПОВЫШЕН";;"#000000";"#FFFFFF"
"AbilityDefGu8.GU8DFAACC.EffectData4.Details";"+2 Accuracy";"+2 точность";;"#000000";"#FFFFFF"
"AbilityDefGu8.GU8DFAACC.EffectData4.Name";"GU8DFAACC";"GU8DFAACC";;"#000000";"#FFFFFF"
"AbilityDefGu8.GU8DFASelf.EffectData0.Details";"DFA attacks deal [AMT] less damage to the attacker.";"DFA атака наносит на [AMT] урона меньше атакующему.";;"#000000";"#FFFFFF"
"AbilityDefGu8.GU8DFASelf.EffectData0.Name";"DFA SELF-INFLICTED DAMAGE DECREASED";"DFA УРОН ПО СЕБЕ СНИЖЕН";;"#000000";"#FFFFFF"
