"CaptureBase_AbandonedFactory.contractName";"Abandoned Factory";"Abandoned Factory";;;
"CaptureBase_AbandonedFactory.dialogueList0.dialogueContent0.words";"We're here to capture the abandoned factory.";"We're here to capture the abandoned factory.";;;
"CaptureBase_AbandonedFactory.dialogueList0.dialogueContent1.words";"Move up, get eyes on the facility, and see what we're facing. We can make a plan from there.";"Move up, get eyes on the facility, and see what we're facing. We can make a plan from there.";;;
"CaptureBase_AbandonedFactory.dialogueList0.dialogueContent2.words";"Good luck, Commander. Oliveira out.";"Good luck, Commander. Oliveira out.";;;
"CaptureBase_AbandonedFactory.dialogueList1.dialogueContent0.words";"The base is ours, Commander. Well done.";"The base is ours, Commander. Well done.";;;
"CaptureBase_AbandonedFactory.dialogueList2.dialogueContent0.words";"This situation has gone from bad to worse. I'm pulling out, Commander.";"This situation has gone from bad to worse. I'm pulling out, Commander.";;;
"CaptureBase_AbandonedFactory.dialogueList3.dialogueContent0.words";"Bogeys on sensors!";"Bogeys on sensors!";;;
"CaptureBase_AbandonedFactory.dialogueList4.dialogueContent0.words";"[GENERIC VO] Area is not clear, Commander. Eliminate the hostiles before continuing to the next Objective.";"[GENERIC VO] Area is not clear, Commander. Eliminate the hostiles before continuing to the next Objective.";;;
"CaptureBase_AbandonedFactory.dialogueList5.dialogueContent0.words";"[GENERIC VO] Sensors are clear, proceed to the next objective.";"[GENERIC VO] Sensors are clear, proceed to the next objective.";;;
"CaptureBase_AbandonedFactory.dialogueList6.dialogueContent0.words";"Dropship inbound for landing! We're going to get in and out quick!";"Dropship inbound for landing! We're going to get in and out quick!";;;
"CaptureBase_AbandonedFactory.dialogueList7.dialogueContent0.words";"Commander, bad news. We're seeing energy signatures for fixed defenses powering up.";"Commander, bad news. We're seeing energy signatures for fixed defenses powering up.";;;
"CaptureBase_AbandonedFactory.dialogueList7.dialogueContent1.words";"Turrets. Remember they can spot you from a very long way off, Commander.";"Turrets. Remember they can spot you from a very long way off, Commander.";;;
"CaptureBase_AbandonedFactory.dialogueList8.dialogueContent0.words";"The facility looks unoccupied save for some automated turrets, Commander. If we can bust those defenses and get inside the perimeter, our employer can send in their salvage crews to take control.";"The facility looks unoccupied save for some automated turrets, Commander. If we can bust those defenses and get inside the perimeter, our employer can send in their salvage crews to take control.";;;
"CaptureBase_AbandonedFactory.dialogueList8.dialogueContent1.words";"Watch for additional contacts. The base's defenders may be out on patrol.";"Watch for additional contacts. The base's defenders may be out on patrol.";;;
"CaptureBase_AbandonedFactory.longDescription";"Somehow I doubt there's a lost 'Mech factory on this backwater world. It probably manufactures low-g bicycles or something else useless.";"Somehow I doubt there's a lost 'Mech factory on this backwater world. It probably manufactures low-g bicycles or something else useless.";;;
"CaptureBase_AbandonedFactory.objectiveList0.description";"The objective to scout the base that is being captured. Must be completed before the actual capture of the base.";"The objective to scout the base that is being captured. Must be completed before the actual capture of the base.";;;
"CaptureBase_AbandonedFactory.objectiveList0.title";"Scout the Factory";"Scout the Factory";;;
"CaptureBase_AbandonedFactory.objectiveList1.description";"The objective to optionally destroy the defenders of the base.";"The objective to optionally destroy the defenders of the base.";;;
"CaptureBase_AbandonedFactory.objectiveList1.title";"Destroy the Enemy Force";"Destroy the Enemy Force";;;
"CaptureBase_AbandonedFactory.objectiveList2.description";"The objective for the player to move into and capture the base.";"The objective for the player to move into and capture the base.";;;
"CaptureBase_AbandonedFactory.objectiveList2.title";"Occupy the Base";"Occupy the Base";;;
"CaptureBase_AbandonedFactory.objectiveList3.description";"HIDDEN TIMER, NO NEED TO EDIT: This is the hidden timer objective that will trigger the enemy reinforcements.";"HIDDEN TIMER, NO NEED TO EDIT: This is the hidden timer objective that will trigger the enemy reinforcements.";;;
"CaptureBase_AbandonedFactory.objectiveList3.title";"Hold Out as Enemies Counter Attack";"Hold Out as Enemies Counter Attack";;;
"CaptureBase_AbandonedFactory.objectiveList4.description";"This is a general objective to indicate the player must keep playing and eliminate enemies as they come.";"This is a general objective to indicate the player must keep playing and eliminate enemies as they come.";;;
"CaptureBase_AbandonedFactory.objectiveList4.title";"Pacify the Area Around the Base";"Pacify the Area Around the Base";;;
"CaptureBase_AbandonedFactory.objectiveList5.description";"The primary objective to destroy the force that tries to remove the player from the captured base.";"The primary objective to destroy the force that tries to remove the player from the captured base.";;;
"CaptureBase_AbandonedFactory.objectiveList5.title";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";;;
"CaptureBase_AbandonedFactory.objectiveList6.description";"The chunk controlled objective to destroy the turrets for the base, if the chunk is active.";"The chunk controlled objective to destroy the turrets for the base, if the chunk is active.";;;
"CaptureBase_AbandonedFactory.objectiveList6.title";"Eliminate Base Turrets";"Eliminate Base Turrets";;;
"CaptureBase_AbandonedFactory.shortDescription";"A {TEAM_EMP.FactionDef.Demonym} patrol detected unexpected signals here in {TGT_SYSTEM.Name}, and we'd like you to investigate. Analysis suggests that {TEAM_TAR.FactionDef.Name} has reactivated an abandoned factory on the planet's surface. We don't know what this particular facility was used for, but given the effort they're sinking into this, it must be valuable. We want it.";"A {TEAM_EMP.FactionDef.Demonym} patrol detected unexpected signals here in {TGT_SYSTEM.Name}, and we'd like you to investigate. Analysis suggests that {TEAM_TAR.FactionDef.Name} has reactivated an abandoned factory on the planet's surface. We don't know what this particular facility was used for, but given the effort they're sinking into this, it must be valuable. We want it.";;;
"CaptureBase_ContestedWill.contractName";"Contested Will";"Contested Will";;;
"CaptureBase_ContestedWill.dialogueList0.dialogueContent0.words";"This is where the {TEAM_EMP.FactionDef.Demonym} 'ancestral' fortress is located.";"This is where the {TEAM_EMP.FactionDef.Demonym} 'ancestral' fortress is located.";;;
"CaptureBase_ContestedWill.dialogueList0.dialogueContent1.words";"Let's get eyes on it and see how many enemy units we're going to be facing.";"Let's get eyes on it and see how many enemy units we're going to be facing.";;;
"CaptureBase_ContestedWill.dialogueList0.dialogueContent2.words";"Then move up, clear out any defenders, and hold the area until {TEAM_EMP.FactionDef.Demonym} forces arrive to relieve you.";"Then move up, clear out any defenders, and hold the area until {TEAM_EMP.FactionDef.Demonym} forces arrive to relieve you.";;;
"CaptureBase_ContestedWill.dialogueList1.dialogueContent0.words";"Well done, Commander; the fortress is ours. There are {TEAM_EMP.FactionDef.Demonym} forces inbound to take possession.";"Well done, Commander; the fortress is ours. There are {TEAM_EMP.FactionDef.Demonym} forces inbound to take possession.";;;
"CaptureBase_ContestedWill.dialogueList2.dialogueContent0.words";"For an 'ancestral' fortress, this place was awfully well-guarded. I'm pulling the plug, Commander.";"For an 'ancestral' fortress, this place was awfully well-guarded. I'm pulling the plug, Commander.";;;
"CaptureBase_ContestedWill.dialogueList3.dialogueContent0.words";"Bogeys on sensors!";"Bogeys on sensors!";;;
"CaptureBase_ContestedWill.dialogueList4.dialogueContent0.words";"[GENERIC VO] Area is not clear, Commander. Eliminate the hostiles before continuing to the next Objective.";"[GENERIC VO] Area is not clear, Commander. Eliminate the hostiles before continuing to the next Objective.";;;
"CaptureBase_ContestedWill.dialogueList5.dialogueContent0.words";"[GENERIC VO] Sensors are clear, proceed to the next objective.";"[GENERIC VO] Sensors are clear, proceed to the next objective.";;;
"CaptureBase_ContestedWill.dialogueList6.dialogueContent0.words";"DropShip inbound, Commander!";"DropShip inbound, Commander!";;;
"CaptureBase_ContestedWill.dialogueList7.dialogueContent0.words";"Commander, a word of warning, we have reports this base may have gun emplacements for point defense.";"Commander, a word of warning, we have reports this base may have gun emplacements for point defense.";;;
"CaptureBase_ContestedWill.dialogueList7.dialogueContent1.words";"Turrets, boss. Just keep an eye out in case they are online.";"Turrets, boss. Just keep an eye out in case they are online.";;;
"CaptureBase_ContestedWill.dialogueList8.dialogueContent0.words";"This is the ancestral fortress? This looks like a modern, operational military base to me.";"This is the ancestral fortress? This looks like a modern, operational military base to me.";;;
"CaptureBase_ContestedWill.dialogueList8.dialogueContent1.words";"I don't like this. Watch for enemy reinforcements, Commander.";"I don't like this. Watch for enemy reinforcements, Commander.";;;
"CaptureBase_ContestedWill.longDescription";"I don't buy the 'ancestral fortress' part of this, but the legal maneuverings check out. Commander, a merc company coming in could resolve this quickly and prevent a large-scale conflict.";"I don't buy the 'ancestral fortress' part of this, but the legal maneuverings check out. Commander, a merc company coming in could resolve this quickly and prevent a large-scale conflict.";;;
"CaptureBase_ContestedWill.objectiveList0.title";"Scout the Fortress";"Scout the Fortress";;;
"CaptureBase_ContestedWill.objectiveList1.title";"Destroy {TEAM_TAR.FactionDef.Demonym} Units";"Destroy {TEAM_TAR.FactionDef.Demonym} Units";;;
"CaptureBase_ContestedWill.objectiveList2.title";"Occupy the Fortress";"Occupy the Fortress";;;
"CaptureBase_ContestedWill.objectiveList3.description";"Hidden";"Hidden";;;
"CaptureBase_ContestedWill.objectiveList3.title";"Capture and Hold the fortress";"Capture and Hold the fortress";;;
"CaptureBase_ContestedWill.objectiveList4.description";"This is a general objective to indicate the player must keep playing and eliminate enemies as they come.";"This is a general objective to indicate the player must keep playing and eliminate enemies as they come.";;;
"CaptureBase_ContestedWill.objectiveList4.title";"Pacify the Area Around the Base";"Pacify the Area Around the Base";;;
"CaptureBase_ContestedWill.objectiveList5.title";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";;;
"CaptureBase_ContestedWill.objectiveList6.title";"Destroy Defensive Turrets";"Destroy Defensive Turrets";;;
"CaptureBase_ContestedWill.shortDescription";"A {TEAM_EMP.FactionDef.Demonym} family lost a large area of land on {TGT_SYSTEM.Name}, thanks to dubious legal maneuvering by {TEAM_TAR.FactionDef.Demonym} agents. This land includes an important ancestral military base. We need this base taken back from {TEAM_TAR.FactionDef.ShortName} and held until this can be sorted out.";"A {TEAM_EMP.FactionDef.Demonym} family lost a large area of land on {TGT_SYSTEM.Name}, thanks to dubious legal maneuvering by {TEAM_TAR.FactionDef.Demonym} agents. This land includes an important ancestral military base. We need this base taken back from {TEAM_TAR.FactionDef.ShortName} and held until this can be sorted out.";;;
"CaptureBase_LogisticsDepot.contractName";"Logistical Base Capture";"Logistical Base Capture";;;
"CaptureBase_LogisticsDepot.dialogueList0.dialogueContent0.words";"Commander, I'm not picking up any active hostiles, anywhere. The place looks deserted.";"Commander, I'm not picking up any active hostiles, anywhere. The place looks deserted.";;;
"CaptureBase_LogisticsDepot.dialogueList0.dialogueContent1.words";"Let's move up and recon the facility.";"Let's move up and recon the facility.";;;
"CaptureBase_LogisticsDepot.dialogueList0.dialogueContent2.words";"Once we know what we're dealing with, we can move in and occupy the depot.";"Once we know what we're dealing with, we can move in and occupy the depot.";;;
"CaptureBase_LogisticsDepot.dialogueList1.dialogueContent0.words";"The depot is ours, Commander.";"The depot is ours, Commander.";;;
