
Ammo_AmmunitionBox_AC_10_HEAR,AmmunitionBox,1,15
Ammo_AmmunitionBox_AC_20_HEAR,AmmunitionBox,1,15
Ammo_AmmunitionBox_AC_2_HEAR,AmmunitionBox,1,15
Ammo_AmmunitionBox_AC_5_HEAR,AmmunitionBox,1,15
Weapon_Rocketstorm_30,Weapon,1,15
Ammo_AmmunitionBox_FAF,AmmunitionBox,1,12
Ammo_AmmunitionBox_Gauss_Flechette,AmmunitionBox,1,12
Ammo_AmmunitionBox_MGL,AmmunitionBox,1,12
Weapon_Rocketstorm_120,Weapon,1,12
Weapon_Rocketstorm_60,Weapon,1,12
Weapon_Rocketstorm_90,Weapon,1,12
Gear_Attachment_AresTPS,Upgrade,1,9
Gear_Attachment_ParticleRecycler,Upgrade,1,9
Gear_Cockpit_Light_M,Upgrade,1,9
Weapon_FAF_2,Weapon,1,9
Weapon_FAF_4,Weapon,1,9
Weapon_MGL_3,Weapon,1,9
Gear_Cockpit_Heavy_M,Upgrade,1,7
Weapon_FAF_6,Weapon,1,7
Weapon_FAF_8,Weapon,1,7
Weapon_IonStreamProjector,Weapon,1,7
Weapon_MGL_10,Weapon,1,7
Weapon_MGL_5,Weapon,1,7
Gear_PHISuite,Upgrade,1,4
Gear_Structure_FerroSpallShield,Upgrade,1,4
Weapon_Gauss_Flechette_10,Weapon,1,4
Weapon_Gauss_Flechette_15,Weapon,1,4
Weapon_Gauss_Flechette_20,Weapon,1,4
Weapon_Gauss_Flechette_5,Weapon,1,4
Gear_Engine_Stealth,HeatSink,1,1
Gear_Engine_VectoredPlasma,HeatSink,1,1
Gear_MASC_Enhanced,Upgrade,1,1
Gear_ThermalOverloadSystem,Upgrade,1,1
Weapon_Laser_Siege,Weapon,1,1
Weapon_PPC_Hyper,Weapon,1,1
