"DefendBase_Automation.contractName";"Automation";"Automation";;;
"DefendBase_Automation.dialogueList0.dialogueContent0.words";"Hey, Darius. Are there supposed to be turrets guarding this place?";"Hey, Darius. Are there supposed to be turrets guarding this place?";;;
"DefendBase_Automation.dialogueList0.dialogueContent1.words";"There should be. Why?";"There should be. Why?";;;
"DefendBase_Automation.dialogueList0.dialogueContent2.words";"I'm not seeing any turret power signatures coming from the facility.";"I'm not seeing any turret power signatures coming from the facility.";;;
"DefendBase_Automation.dialogueList0.dialogueContent3.words";"I'll contact our {TEAM_EMP.FactionDef.Demonym} representative and find out what's going on. In the meantime, Commander, keep the enemy away from that base.";"I'll contact our {TEAM_EMP.FactionDef.Demonym} representative and find out what's going on. In the meantime, Commander, keep the enemy away from that base.";;;
"DefendBase_Automation.dialogueList1.dialogueContent0.words";"Someday, these bean-counters will figure out that you can't fight 'Mechs with anything except other 'Mechs.";"Someday, these bean-counters will figure out that you can't fight 'Mechs with anything except other 'Mechs.";;;
"DefendBase_Automation.dialogueList1.dialogueContent1.words";"I doubt it, Yang. They're always looking for ways to cut corners, and we're always there to bail them out.";"I doubt it, Yang. They're always looking for ways to cut corners, and we're always there to bail them out.";;;
"DefendBase_Automation.dialogueList2.dialogueContent0.words";"What a damn disaster. Let's debrief back in orbit.";"What a damn disaster. Let's debrief back in orbit.";;;
"DefendBase_Automation.dialogueList3.dialogueContent0.words";"Argo, my engineers are powering the turrets up now. The APCs will scatter and provide support.";"Argo, my engineers are powering the turrets up now. The APCs will scatter and provide support.";;;
"DefendBase_Automation.dialogueList3.dialogueContent1.words";"Roger, local command. Commander, looks like we have a few more guns on our side.";"Roger, local command. Commander, looks like we have a few more guns on our side.";;;
"DefendBase_Automation.dialogueList4.dialogueContent0.words";"Warning commander, sensors are reading multiple contacts approaching from multiple vectors. Looks like the attacking force has brought reinforcements. ";"Warning commander, sensors are reading multiple contacts approaching from multiple vectors. Looks like the attacking force has brought reinforcements. ";;;
"DefendBase_Automation.dialogueList5.dialogueContent0.words";"Be advised, some of the target buildings are sustaining damage. Your mission is to keep them standing. ";"Be advised, some of the target buildings are sustaining damage. Your mission is to keep them standing. ";;;
"DefendBase_Automation.dialogueList6.dialogueContent0.words";"Commander, a target building has been demolished. Ensure the integrity of the remaining buildings.";"Commander, a target building has been demolished. Ensure the integrity of the remaining buildings.";;;
"DefendBase_Automation.dialogueList7.dialogueContent0.words";"Commander, there's only one target structure left. If we lose it, we've blown the contract. You have to draw their fire somehow.";"Commander, there's only one target structure left. If we lose it, we've blown the contract. You have to draw their fire somehow.";;;
"DefendBase_Automation.dialogueList8.dialogueContent0.words";"Mercenary Commander, we've received word of the assault on your position. Reinforcements are incoming, they are about halfway there. Maintain position and you will be relieved and reinforced shortly. ";"Mercenary Commander, we've received word of the assault on your position. Reinforcements are incoming, they are about halfway there. Maintain position and you will be relieved and reinforced shortly. ";;;
"DefendBase_Automation.dialogueList9.dialogueContent0.words";"Argo, this is {TEAM_EMP.FactionDef.Demonym} local command. Our turrets have been disabled by sabotage.";"Argo, this is {TEAM_EMP.FactionDef.Demonym} local command. Our turrets have been disabled by sabotage.";;;
"DefendBase_Automation.dialogueList9.dialogueContent1.words";"Well now <i>there's</i> a surprise.";"Well now <i>there's</i> a surprise.";;;
"DefendBase_Automation.dialogueList9.dialogueContent2.words";"That's going to make this mission rough, command. Suggestions?";"That's going to make this mission rough, command. Suggestions?";;;
"DefendBase_Automation.dialogueList9.dialogueContent3.words";"I have a team of engineers that can manually restart the turrets, but that can only be done in person at turret control.";"I have a team of engineers that can manually restart the turrets, but that can only be done in person at turret control.";;;
"DefendBase_Automation.dialogueList9.dialogueContent4.words";"Roger. Commander, if we want any backup, we'll need to keep those APCs alive until they get to the turret control building.";"Roger. Commander, if we want any backup, we'll need to keep those APCs alive until they get to the turret control building.";;;
"DefendBase_Automation.longDescription";"This job doesn't seem all that difficult, but... Turrets? Please. Never send a machine to do a MechWarrior's job.";"This job doesn't seem all that difficult, but... Turrets? Please. Never send a machine to do a MechWarrior's job.";;;
"DefendBase_Automation.objectiveList0.description";"Defend Targeted Base Structures from Attackers";"Defend Targeted Base Structures from Attackers";;;
"DefendBase_Automation.objectiveList0.title";"Defend Target Buildings";"Defend Target Buildings";;;
"DefendBase_Automation.objectiveList1.description";"Destroy the enemy vanguard force, the first wave.";"Destroy the enemy vanguard force, the first wave.";;;
"DefendBase_Automation.objectiveList1.title";"Destroy the Enemy Vanguard";"Destroy the Enemy Vanguard";;;
"DefendBase_Automation.objectiveList2.description";"Optional objective to keep ALL target structures intact.";"Optional objective to keep ALL target structures intact.";;;
"DefendBase_Automation.objectiveList2.title";"All target buildings must survive";"All target buildings must survive";;;
"DefendBase_Automation.objectiveList3.description";"Objective for tracking the time left in the mission. While the player it told to Hold Out for Reinforcements";"Objective for tracking the time left in the mission. While the player it told to Hold Out for Reinforcements";;;
"DefendBase_Automation.objectiveList3.title";"Hold Out for Reinforcements";"Hold Out for Reinforcements";;;
