"ThreeWayBattle_Spoiler.contractName";"Spoiler";"Spoiler";;;
"ThreeWayBattle_Spoiler.dialogueList0.dialogueContent0.words";"You're approaching the interception point, Commander.";"You're approaching the interception point, Commander.";;;
"ThreeWayBattle_Spoiler.dialogueList0.dialogueContent1.words";"Our primary target, the {TEAM_TAR.FactionDef.Demonym} lance, is in this area.";"Our primary target, the {TEAM_TAR.FactionDef.Demonym} lance, is in this area.";;;
"ThreeWayBattle_Spoiler.dialogueList0.dialogueContent2.words";"The unknown enemy force was last seen here.";"The unknown enemy force was last seen here.";;;
"ThreeWayBattle_Spoiler.dialogueList0.dialogueContent3.words";"Good luck, Commander. Oliviera out.";"Good luck, Commander. Oliviera out.";;;
"ThreeWayBattle_Spoiler.dialogueList1.dialogueContent0.words";"Another successful mission in the bag, Commander. Let's debrief once you're back aboard.";"Another successful mission in the bag, Commander. Let's debrief once you're back aboard.";;;
"ThreeWayBattle_Spoiler.dialogueList10.dialogueContent0.words";"The primary targets are down. That's a wrap.";"The primary targets are down. That's a wrap.";;;
"ThreeWayBattle_Spoiler.dialogueList10.dialogueContent1.words";"I'm inbound to the LZ, Commander. Get your people over there for pickup.";"I'm inbound to the LZ, Commander. Get your people over there for pickup.";;;
"ThreeWayBattle_Spoiler.dialogueList11.dialogueContent0.words";"Hey, Darius—I'm seeing new heat signatures on the field. Our mystery tangoes, I'm guessing?";"Hey, Darius—I'm seeing new heat signatures on the field. Our mystery tangoes, I'm guessing?";;;
"ThreeWayBattle_Spoiler.dialogueList11.dialogueContent1.words";"That's affirmative. Looks like {TEAM_HOST.FactionDef.Demonym} livery. Take them down as well, Commander.";"That's affirmative. Looks like {TEAM_HOST.FactionDef.Demonym} livery. Take them down as well, Commander.";;;
"ThreeWayBattle_Spoiler.dialogueList12.dialogueContent0.words";"I'm seeing new heat signatures on the field, Commander. Our mystery tangos, I'm guessing?";"I'm seeing new heat signatures on the field, Commander. Our mystery tangos, I'm guessing?";;;
"ThreeWayBattle_Spoiler.dialogueList12.dialogueContent1.words";"That's affirmative. The {TEAM_EMP.FactionDef.Demonym} rep has offered a bonus if we eliminate them, as well. Your call, Commander.";"That's affirmative. The {TEAM_EMP.FactionDef.Demonym} rep has offered a bonus if we eliminate them, as well. Your call, Commander.";;;
"ThreeWayBattle_Spoiler.dialogueList13.dialogueContent0.words";"All our objectives are complete, cover our withdraw, Commander.";"All our objectives are complete, cover our withdraw, Commander.";;;
"ThreeWayBattle_Spoiler.dialogueList14.dialogueContent0.words";"All our objectives are complete, cover our withdraw, Commander.";"All our objectives are complete, cover our withdraw, Commander.";;;
"ThreeWayBattle_Spoiler.dialogueList14.dialogueContent1.words";"We won't get paid for covering their evac if we leave before them, plan accordingly Commander.";"We won't get paid for covering their evac if we leave before them, plan accordingly Commander.";;;
"ThreeWayBattle_Spoiler.dialogueList15.dialogueContent0.words";"Thanks for the assist, we're clear.";"Thanks for the assist, we're clear.";;;
"ThreeWayBattle_Spoiler.dialogueList16.dialogueContent0.words";"Thanks for the assist, we're clear.";"Thanks for the assist, we're clear.";;;
"ThreeWayBattle_Spoiler.dialogueList17.dialogueContent0.words";"That's it Commander, we did what we came here to do. Come on home.";"That's it Commander, we did what we came here to do. Come on home.";;;
"ThreeWayBattle_Spoiler.dialogueList18.dialogueContent0.words";"That's it Commander, we did what we came here to do. Come on home.";"That's it Commander, we did what we came here to do. Come on home.";;;
"ThreeWayBattle_Spoiler.dialogueList18.dialogueContent1.words";"We won't get paid for covering their evac if we leave before them, plan accordingly Commander.";"We won't get paid for covering their evac if we leave before them, plan accordingly Commander.";;;
"ThreeWayBattle_Spoiler.dialogueList19.dialogueContent0.words";"We're clear of the AO, thanks Commander.";"We're clear of the AO, thanks Commander.";;;
"ThreeWayBattle_Spoiler.dialogueList2.dialogueContent0.words";"That's unfortunate. I'll let our employers know what happened.";"That's unfortunate. I'll let our employers know what happened.";;;
"ThreeWayBattle_Spoiler.dialogueList20.dialogueContent0.words";"We're clear of the AO, thanks Commander.";"We're clear of the AO, thanks Commander.";;;
"ThreeWayBattle_Spoiler.dialogueList21.dialogueContent0.words";"Heads up Commander, its a hostile {TEAM_TAR_ALLY.FactionDef.Demonym} lance!";"Heads up Commander, its a hostile {TEAM_TAR_ALLY.FactionDef.Demonym} lance!";;;
"ThreeWayBattle_Spoiler.dialogueList21.dialogueContent1.words";"Our Employer has kindly added destroying this group to our objectives. If we want to get paid we need to take them out.";"Our Employer has kindly added destroying this group to our objectives. If we want to get paid we need to take them out.";;;
"ThreeWayBattle_Spoiler.dialogueList22.dialogueContent0.words";"Heads up Commander, its a hostile {TEAM_TAR_ALLY.FactionDef.Demonym} lance!  ";"Heads up Commander, its a hostile {TEAM_TAR_ALLY.FactionDef.Demonym} lance!  ";;;
"ThreeWayBattle_Spoiler.dialogueList22.dialogueContent1.words";"Our Employer has offered a bonus if we eliminate this group as well.";"Our Employer has offered a bonus if we eliminate this group as well.";;;
"ThreeWayBattle_Spoiler.dialogueList23.dialogueContent0.words";"Another {TEAM_EMP.FactionDef.Demonym} lance has dropped in Commander!\n----\nAnother {TEAM_TAR.FactionDef.Demonym} lance has dropped in Commander!";"Another {TEAM_EMP.FactionDef.Demonym} lance has dropped in Commander!";;;"#FF0000"
"ThreeWayBattle_Spoiler.dialogueList23.dialogueContent1.words";"Our Employer has kindly added destroying this group to our objectives. If we want to get paid we need to take them out.";"Our Employer has kindly added destroying this group to our objectives. If we want to get paid we need to take them out.";;;
"ThreeWayBattle_Spoiler.dialogueList24.dialogueContent0.words";"Another {TEAM_EMP.FactionDef.Demonym} lance has dropped in Commander!  \n----\nAnother {TEAM_TAR.FactionDef.Demonym} lance has dropped in Commander!";"Another {TEAM_EMP.FactionDef.Demonym} lance has dropped in Commander!  ";;;"#FF0000"
"ThreeWayBattle_Spoiler.dialogueList24.dialogueContent1.words";"Our Employer has offered a bonus if we eliminate this group as well.";"Our Employer has offered a bonus if we eliminate this group as well.";;;
"ThreeWayBattle_Spoiler.dialogueList25.dialogueContent0.words";"More {TEAM_EMP.FactionDef.Demonym} forces on the field!\n----\nMore {TEAM_TAR.FactionDef.Demonym} forces on the field!";"More {TEAM_EMP.FactionDef.Demonym} forces on the field!";;;"#FF0000"
"ThreeWayBattle_Spoiler.dialogueList25.dialogueContent1.words";"Our Employer has kindly added destroying this group to our objectives. If we want to get paid we need to take them out.";"Our Employer has kindly added destroying this group to our objectives. If we want to get paid we need to take them out.";;;
"ThreeWayBattle_Spoiler.dialogueList26.dialogueContent0.words";"More {TEAM_EMP.FactionDef.Demonym} forces on the field!";"More {TEAM_EMP.FactionDef.Demonym} forces on the field!";;;
"ThreeWayBattle_Spoiler.dialogueList26.dialogueContent1.words";"Our Employer has offered a bonus if we eliminate this group as well.";"Our Employer has offered a bonus if we eliminate this group as well.";;;
"ThreeWayBattle_Spoiler.dialogueList3.dialogueContent0.words";"Commander, we have confirmation on the unknown enemy lance. They're closing with the {TEAM_TAR.FactionDef.Demonym} forces.";"Commander, we have confirmation on the unknown enemy lance. They're closing with the {TEAM_TAR.FactionDef.Demonym} forces.";;;
"ThreeWayBattle_Spoiler.dialogueList30.dialogueContent0.words";"Got a Leopard on radar, Commander. Looks like it's making a drop; I'll mark its LZ for you.";"Got a Leopard on radar, Commander. Looks like it's making a drop; I'll mark its LZ for you.";;;
"ThreeWayBattle_Spoiler.dialogueList31.dialogueContent0.words";"Inbound hostile Dropship detected, drop zone marked.";"Inbound hostile Dropship detected, drop zone marked.";;;
