"CaptureEscort_AssetSecurity_Hard_NEW.contractName";"Secure the Assets";"Secure the Assets";;;
"CaptureEscort_AssetSecurity_Hard_NEW.dialogueList0.dialogueContent0.words";"We have friendly units under fire.";"We have friendly units under fire.";;;
"CaptureEscort_AssetSecurity_Hard_NEW.dialogueList0.dialogueContent1.words";"Move to their position and provide support.";"Move to their position and provide support.";;;
"CaptureEscort_AssetSecurity_Hard_NEW.dialogueList0.dialogueContent2.words";"Get them to safety, keep them intact, and get out there when it's done.";"Get them to safety, keep them intact, and get out there when it's done.";;;
"CaptureEscort_AssetSecurity_Hard_NEW.dialogueList1.dialogueContent0.words";"Excellent work, Commander. The medical convoy safely reached extraction.";"Excellent work, Commander. The medical convoy safely reached extraction.";;;
"CaptureEscort_AssetSecurity_Hard_NEW.dialogueList2.dialogueContent0.words";"Pack it in, Commander. There's nothing left we can do here.";"Pack it in, Commander. There's nothing left we can do here.";;;
"CaptureEscort_AssetSecurity_Hard_NEW.dialogueList3.dialogueContent0.words";"Commander. The enemy has deployed reinforcements and they are inbound. Expect increased resistance.";"Commander. The enemy has deployed reinforcements and they are inbound. Expect increased resistance.";;;
"CaptureEscort_AssetSecurity_Hard_NEW.dialogueList4.dialogueContent0.words";"More contacts on the sensors, Commander. Looks like they're sending in units to hunt and destroy the convoy.";"More contacts on the sensors, Commander. Looks like they're sending in units to hunt and destroy the convoy.";;;
"CaptureEscort_AssetSecurity_Hard_NEW.dialogueList5.dialogueContent0.words";"You've reached the extraction point for the objective vehicles. Hold there are keep them safe until we can get them out.";"You've reached the extraction point for the objective vehicles. Hold there are keep them safe until we can get them out.";;;
"CaptureEscort_AssetSecurity_Hard_NEW.dialogueList6.dialogueContent0.words";"I'm receiving a transmission from the Employer's convoy. You've secured the area around their position, and they are making their way towards the extraction point now. Keep them alive!";"I'm receiving a transmission from the Employer's convoy. You've secured the area around their position, and they are making their way towards the extraction point now. Keep them alive!";;;
"CaptureEscort_AssetSecurity_Hard_NEW.dialogueList6.dialogueContent1.words";"Keep in mind that the convoy will try to stay near you for protection. Continue advancing to get them to the extract point!";"Keep in mind that the convoy will try to stay near you for protection. Continue advancing to get them to the extract point!";;;
