"CaptureEscort_AmmoHeist_NEW.contractName";"Ammo Heist";"Ammo Heist";;;
"CaptureEscort_AmmoHeist_NEW.dialogueList0.dialogueContent0.words";"The ammunition depot is just up ahead, Commander.";"The ammunition depot is just up ahead, Commander.";;;
"CaptureEscort_AmmoHeist_NEW.dialogueList0.dialogueContent1.words";"There may be hostiles in the area. We need to punch through and secure the base.";"There may be hostiles in the area. We need to punch through and secure the base.";;;
"CaptureEscort_AmmoHeist_NEW.dialogueList0.dialogueContent2.words";"Once we've got the ammo transports underway we need to keep up with them and protect them.";"Once we've got the ammo transports underway we need to keep up with them and protect them.";;;
"CaptureEscort_AmmoHeist_NEW.dialogueList0.dialogueContent3.words";"They are very fragile, don't let them take fire. Good luck, Commander.";"They are very fragile, don't let them take fire. Good luck, Commander.";;;
"CaptureEscort_AmmoHeist_NEW.dialogueList1.dialogueContent0.words";"The ammo transports are secure, Commander. Well done.";"The ammo transports are secure, Commander. Well done.";;;
"CaptureEscort_AmmoHeist_NEW.dialogueList2.dialogueContent0.words";"That was a slaughterhouse. Let's head home, Commander.";"That was a slaughterhouse. Let's head home, Commander.";;;
"CaptureEscort_AmmoHeist_NEW.dialogueList3.dialogueContent0.words";"Commander. The enemy has deployed reinforcements and they are inbound. Expect increased resistance.";"Commander. The enemy has deployed reinforcements and they are inbound. Expect increased resistance.";;;
"CaptureEscort_AmmoHeist_NEW.dialogueList4.dialogueContent0.words";"More contacts on the sensors, Commander. I guess {TEAM_TAR.FactionDef.Name} isn't happy with their people changing jobs?";"More contacts on the sensors, Commander. I guess {TEAM_TAR.FactionDef.Name} isn't happy with their people changing jobs?";;;
"CaptureEscort_AmmoHeist_NEW.dialogueList5.dialogueContent0.words";"You've reached the extraction point for the objective vehicles. Hold there are keep them safe until we can get them out.";"You've reached the extraction point for the objective vehicles. Hold there are keep them safe until we can get them out.";;;
"CaptureEscort_AmmoHeist_NEW.dialogueList6.dialogueContent0.words";"I've got the convoy leader on comms, Commander. They're underway. Keep up with them and keep them safe.";"I've got the convoy leader on comms, Commander. They're underway. Keep up with them and keep them safe.";;;
"CaptureEscort_AmmoHeist_NEW.dialogueList6.dialogueContent1.words";"Keep in mind that the convoy will try to stay near you for protection. Continue advancing to get them to the extract point!";"Keep in mind that the convoy will try to stay near you for protection. Continue advancing to get them to the extract point!";;;
"CaptureEscort_AmmoHeist_NEW.dialogueList7.dialogueContent0.words";"And they are away! The convoy is safely out of the AO. Good work, Commander. Now get your remaining forces to the second evac zone for extraction there. ";"And they are away! The convoy is safely out of the AO. Good work, Commander. Now get your remaining forces to the second evac zone for extraction there. ";;;
"CaptureEscort_AmmoHeist_NEW.longDescription";"You heard those scare quotes didn't you boss? Civilian Liaison means Spec Ops. They're in a rush so I got them to promise a few crates of ammo as a bonus.";"You heard those scare quotes didn't you boss? Civilian Liaison means Spec Ops. They're in a rush so I got them to promise a few crates of ammo as a bonus.";;;
"CaptureEscort_AmmoHeist_NEW.objectiveList0.description";"The objective to destroy the force of enemies which will try and stop the player from reaching the rally point.";"The objective to destroy the force of enemies which will try and stop the player from reaching the rally point.";;;
"CaptureEscort_AmmoHeist_NEW.objectiveList0.title";"Destroy {TEAM_TAR.FactionDef.Demonym} Blocking Force";"Destroy {TEAM_TAR.FactionDef.Demonym} Blocking Force";;;
"CaptureEscort_AmmoHeist_NEW.objectiveList1.description";"Secure the Convoy Rally Point";"Secure the Convoy Rally Point";;;
"CaptureEscort_AmmoHeist_NEW.objectiveList1.title";"Escort {TEAM_EMP.FactionDef.Demonym} Convoy To Evac Point";"Escort {TEAM_EMP.FactionDef.Demonym} Convoy To Evac Point";;;
"CaptureEscort_AmmoHeist_NEW.objectiveList2.description";"The objective to destroy enemy units which will attempt to block the convoy from reaching its destination.";"The objective to destroy enemy units which will attempt to block the convoy from reaching its destination.";;;
"CaptureEscort_AmmoHeist_NEW.objectiveList2.title";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";;;
"CaptureEscort_AmmoHeist_NEW.objectiveList3.description";"Escort Friendly units to their Destination";"Escort Friendly units to their Destination";;;
"CaptureEscort_AmmoHeist_NEW.objectiveList3.title";"Escort {TEAM_EMP.FactionDef.Demonym} Convoy To Evac Point";"Escort {TEAM_EMP.FactionDef.Demonym} Convoy To Evac Point";;;
"CaptureEscort_AmmoHeist_NEW.objectiveList4.description";"Protect the all units in Convoy during Extraction, suffering no losses.";"Protect the all units in Convoy during Extraction, suffering no losses.";;;
"CaptureEscort_AmmoHeist_NEW.objectiveList4.title";"Ensure All Convoy Units Survive";"Ensure All Convoy Units Survive";;;
"CaptureEscort_AmmoHeist_NEW.objectiveList5.description";"Hidden Objective: Destroy hunter lance for mission complete.";"Hidden Objective: Destroy hunter lance for mission complete.";;;
"CaptureEscort_AmmoHeist_NEW.objectiveList5.title";"Hidden Objective: Destroy hunter lance for mission complete.";"Hidden Objective: Destroy hunter lance for mission complete.";;;
"CaptureEscort_AmmoHeist_NEW.objectiveList6.description";"The objective to escape with all the player units.";"The objective to escape with all the player units.";;;
"CaptureEscort_AmmoHeist_NEW.objectiveList6.title";"Get to the Evac Zone";"Get to the Evac Zone";;;
"CaptureEscort_AmmoHeist_NEW.objectiveList7.description";"USELESS OBJECTIVE";"USELESS OBJECTIVE";;;
"CaptureEscort_AmmoHeist_NEW.objectiveList7.title";"Protect Convoy while Dropship Arrives";"Protect Convoy while Dropship Arrives";;;
"CaptureEscort_AmmoHeist_NEW.objectiveList8.description";"USELESS OBJECTIVE";"USELESS OBJECTIVE";;;
"CaptureEscort_AmmoHeist_NEW.objectiveList8.title";"Protect Convoy as they Embark on the Dropship";"Protect Convoy as they Embark on the Dropship";;;
"CaptureEscort_AmmoHeist_NEW.shortDescription";"One of our Civilian Liaison Teams has acquired a recently former {TEAM_TAR.FactionDef.Demonym} ammunition depot following the sudden death of much of the staff in an unfortunate incident. We removing the ammunition to a secure location lest if fall into the wrong hands. Your company is to provide security during the extraction.";"One of our Civilian Liaison Teams has acquired a recently former {TEAM_TAR.FactionDef.Demonym} ammunition depot following the sudden death of much of the staff in an unfortunate incident. We removing the ammunition to a secure location lest if fall into the wrong hands. Your company is to provide security during the extraction.";;;
"CaptureEscort_Appearances.contractName";"Appearances";"Appearances";;;
"CaptureEscort_Appearances.dialogueList0.dialogueContent0.words";"We have friendly units under fire.";"We have friendly units under fire.";;;
"CaptureEscort_Appearances.dialogueList0.dialogueContent1.words";"Move to their position and provide support.";"Move to their position and provide support.";;;
"CaptureEscort_Appearances.dialogueList0.dialogueContent2.words";"Get them to safety, keep them intact, and get out there when it's done.";"Get them to safety, keep them intact, and get out there when it's done.";;;
"CaptureEscort_Appearances.dialogueList1.dialogueContent0.words";"Excellent work, Commander. The medical convoy safely reached extraction.";"Excellent work, Commander. The medical convoy safely reached extraction.";;;
"CaptureEscort_Appearances.dialogueList2.dialogueContent0.words";"Pack it in, Commander. Those medical supplies are only so much trash now.";"Pack it in, Commander. Those medical supplies are only so much trash now.";;;
"CaptureEscort_Appearances.dialogueList3.dialogueContent0.words";"Commander. The enemy has deployed reinforcements and they are inbound. Expect increased resistance.";"Commander. The enemy has deployed reinforcements and they are inbound. Expect increased resistance.";;;
"CaptureEscort_Appearances.dialogueList4.dialogueContent0.words";"More contacts on the sensors, Commander. Looks like they're sending in units to hunt and destroy the convoy.";"More contacts on the sensors, Commander. Looks like they're sending in units to hunt and destroy the convoy.";;;
"CaptureEscort_Appearances.dialogueList5.dialogueContent0.words";"You've reached the extraction point for the objective vehicles. Hold there are keep them safe until we can get them out.";"You've reached the extraction point for the objective vehicles. Hold there are keep them safe until we can get them out.";;;
"CaptureEscort_Appearances.dialogueList6.dialogueContent0.words";"I'm receiving a transmission from the Employer's convoy. You've secured the area around their position, and they are making their way towards the extraction point now. Keep them alive!";"I'm receiving a transmission from the Employer's convoy. You've secured the area around their position, and they are making their way towards the extraction point now. Keep them alive!";;;
"CaptureEscort_Appearances.dialogueList6.dialogueContent1.words";"Keep in mind that the convoy will try to stay near you for protection. Continue advancing to get them to the extract point!";"Keep in mind that the convoy will try to stay near you for protection. Continue advancing to get them to the extract point!";;;
"CaptureEscort_Appearances.dialogueList7.dialogueContent0.words";"And they are away! The convoy is safely out of the AO. Good work, Commander. Now get your remaining forces to the second evac zone for extraction there. ";"And they are away! The convoy is safely out of the AO. Good work, Commander. Now get your remaining forces to the second evac zone for extraction there. ";;;
"CaptureEscort_Appearances.longDescription";"Rumor has it that the {TEAM_EMP.FactionDef.Name} have been smuggling restricted munitions in among their medical supplies. On the surface, at least, we're being tasked with a humanitarian escort mission.";"Rumor has it that the {TEAM_EMP.FactionDef.Name} have been smuggling restricted munitions in among their medical supplies. On the surface, at least, we're being tasked with a humanitarian escort mission.";;;
"CaptureEscort_Appearances.objectiveList0.description";"The objective to destroy the force of enemies which will try and stop the player from reaching the rally point.";"The objective to destroy the force of enemies which will try and stop the player from reaching the rally point.";;;
"CaptureEscort_Appearances.objectiveList0.title";"Destroy {TEAM_TAR.FactionDef.Demonym} Blocking Force";"Destroy {TEAM_TAR.FactionDef.Demonym} Blocking Force";;;
"CaptureEscort_Appearances.objectiveList1.description";"Secure the Convoy Rally Point";"Secure the Convoy Rally Point";;;
"CaptureEscort_Appearances.objectiveList1.title";"Escort {TEAM_EMP.FactionDef.Demonym} Convoy To Evac Point";"Escort {TEAM_EMP.FactionDef.Demonym} Convoy To Evac Point";;;
"CaptureEscort_Appearances.objectiveList2.description";"The objective to destroy enemy units which will attempt to block the convoy from reaching its destination.";"The objective to destroy enemy units which will attempt to block the convoy from reaching its destination.";;;
"CaptureEscort_Appearances.objectiveList2.title";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";;;
"CaptureEscort_Appearances.objectiveList3.description";"Escort Friendly units to their Destination";"Escort Friendly units to their Destination";;;
"CaptureEscort_Appearances.objectiveList3.title";"Escort {TEAM_EMP.FactionDef.Demonym} Convoy To Evac Point";"Escort {TEAM_EMP.FactionDef.Demonym} Convoy To Evac Point";;;
"CaptureEscort_Appearances.objectiveList4.description";"Protect the all units in Convoy during Extraction, suffering no losses.";"Protect the all units in Convoy during Extraction, suffering no losses.";;;
"CaptureEscort_Appearances.objectiveList4.title";"Ensure All Convoy Units Survive";"Ensure All Convoy Units Survive";;;
"CaptureEscort_Appearances.objectiveList5.description";"Hidden Objective: Destroy hunter lance for mission complete.";"Hidden Objective: Destroy hunter lance for mission complete.";;;
"CaptureEscort_Appearances.objectiveList5.title";"Hidden Objective: Destroy hunter lance for mission complete.";"Hidden Objective: Destroy hunter lance for mission complete.";;;
"CaptureEscort_Appearances.objectiveList6.description";"The objective to escape with all the player units.";"The objective to escape with all the player units.";;;
"CaptureEscort_Appearances.objectiveList6.title";"Get to the Evac Zone";"Get to the Evac Zone";;;
"CaptureEscort_Appearances.objectiveList7.description";"USELESS OBJECTIVE";"USELESS OBJECTIVE";;;
"CaptureEscort_Appearances.objectiveList7.title";"Protect Convoy while Dropship Arrives";"Protect Convoy while Dropship Arrives";;;
"CaptureEscort_Appearances.objectiveList8.description";"USELESS OBJECTIVE";"USELESS OBJECTIVE";;;
"CaptureEscort_Appearances.objectiveList8.title";"Protect Convoy as they Embark on the Dropship";"Protect Convoy as they Embark on the Dropship";;;
"CaptureEscort_Appearances.shortDescription";"Contravening all decency and acceptable behavior on the battlefield, {TEAM_TAR.FactionDef.Name} has been targeting our hospitals and medical supplies. We're seeking to redistribute our supplies to safer locations, but one convoy remains without a proper escort. That's where you come in. While {TEAM_TAR.FactionDef.Demonym} forces will be stretched thin, attempting to intercept all of our separate shipments, you can expect that this one will not go unnoticed.";"Contravening all decency and acceptable behavior on the battlefield, {TEAM_TAR.FactionDef.Name} has been targeting our hospitals and medical supplies. We're seeking to redistribute our supplies to safer locations, but one convoy remains without a proper escort. That's where you come in. While {TEAM_TAR.FactionDef.Demonym} forces will be stretched thin, attempting to intercept all of our separate shipments, you can expect that this one will not go unnoticed.";;;
"CaptureEscort_AssetSecurity_NEW.contractName";"Secure the Assets";"Secure the Assets";;;
"CaptureEscort_AssetSecurity_NEW.dialogueList0.dialogueContent0.words";"We have friendly units under fire.";"We have friendly units under fire.";;;
"CaptureEscort_AssetSecurity_NEW.dialogueList0.dialogueContent1.words";"Move to their position and provide support.";"Move to their position and provide support.";;;
"CaptureEscort_AssetSecurity_NEW.dialogueList0.dialogueContent2.words";"Get them to safety, keep them intact, and get out there when it's done.";"Get them to safety, keep them intact, and get out there when it's done.";;;
"CaptureEscort_AssetSecurity_NEW.dialogueList1.dialogueContent0.words";"Excellent work, Commander. The medical convoy safely reached extraction.";"Excellent work, Commander. The medical convoy safely reached extraction.";;;
"CaptureEscort_AssetSecurity_NEW.dialogueList2.dialogueContent0.words";"Pack it in, Commander. There's nothing left we can do here.";"Pack it in, Commander. There's nothing left we can do here.";;;
"CaptureEscort_AssetSecurity_NEW.dialogueList3.dialogueContent0.words";"Commander. The enemy has deployed reinforcements and they are inbound. Expect increased resistance.";"Commander. The enemy has deployed reinforcements and they are inbound. Expect increased resistance.";;;
"CaptureEscort_AssetSecurity_NEW.dialogueList4.dialogueContent0.words";"More contacts on the sensors, Commander. Looks like they're sending in units to hunt and destroy the convoy.";"More contacts on the sensors, Commander. Looks like they're sending in units to hunt and destroy the convoy.";;;
"CaptureEscort_AssetSecurity_NEW.dialogueList5.dialogueContent0.words";"You've reached the extraction point for the objective vehicles. Hold there are keep them safe until we can get them out.";"You've reached the extraction point for the objective vehicles. Hold there are keep them safe until we can get them out.";;;
