"AbilityDefCAC_AttackGround.Description.Details";"Use this Ability to Perform an Attack against the Ground.";"Используйте эту способность, чтобы выполнить атаку по земле.";;"#000000";"#FFFFFF"
"AbilityDefCAC_AttackGround.Description.Name";"ATTACK GROUND";"АТАКА ПО ЗЕМЛЕ";;"#000000";"#FFFFFF"
"AbilityMultiTracker.Description.Details";"ACTION: Fire weapons at up to three separate targets within this 'Mech's current firing arc.";"ПРИМЕНЕНИЕ: выбирайте для атаки до 3х целей в пределах зоны атаки вашего меха.";;"#000000";"#FFFFFF"
"AbilityMultiTracker.Description.Name";"MULTI-TARGET";"МНОГОЦЕЛЕВОЙ ЗАЛП";;"#000000";"#FFFFFF"
"TraitDefGuts1.ShortDesc";"+0 Ini Injury&Melee Resist";"+0 баз. сопр. травм. пилота";;"#000000";"#FFFFFF"
"TraitDefGuts10.ShortDesc";"+5 Ini Injury&Melee Resist";"+5 баз. сопр. травм. пилота";;"#000000";"#FFFFFF"
"TraitDefGuts2.ShortDesc";"+1 Ini Injury&Melee Resist";"+1 баз. сопр. травм. пилота";;"#000000";"#FFFFFF"
"TraitDefGuts3.ShortDesc";"+1 Ini Injury&Melee Resist";"+1 баз. сопр. травм. пилота";;"#000000";"#FFFFFF"
"TraitDefGuts4.ShortDesc";"+2 Ini Injury&Melee Resist";"+2 баз. сопр. травм. пилота";;"#000000";"#FFFFFF"
"TraitDefGuts5.ShortDesc";"+2 Ini Injury&Melee Resist";"+2 баз. сопр. травм. пилота";;"#000000";"#FFFFFF"
"TraitDefGuts6.ShortDesc";"+3 Ini Injury&Melee Resist";"+3 баз. сопр. травм. пилота";;"#000000";"#FFFFFF"
"TraitDefGuts7.ShortDesc";"+3 Ini Injury&Melee Resist";"+3 баз. сопр. травм. пилота";;"#000000";"#FFFFFF"
"TraitDefGuts8.ShortDesc";"+4 Ini Injury&Melee Resist";"+4 баз. сопр. травм. пилота";;"#000000";"#FFFFFF"
"TraitDefGuts9.ShortDesc";"+4 Ini Injury&Melee Resist";"+4 баз. сопр. травм. пилота";;"#000000";"#FFFFFF"
"TraitDefMeleeHit1.ShortDesc";"+2% Melee Acc.-0 Ini Randomness";"+2% Точн. рукоп., -0 Баз. разброс шансов";;"#000000";"#FFFFFF"
"TraitDefMeleeHit10.ShortDesc";"+20% Melee Acc.-5 Ini Randomness";"+20% Точн. рукоп., -5 Баз. разброс шансов";;"#000000";"#FFFFFF"
"TraitDefMeleeHit2.ShortDesc";"+4% Melee Acc.-1 Ini Randomness";"+4% Точн. рукоп., -1 Баз. разброс шансов";;"#000000";"#FFFFFF"
"TraitDefMeleeHit3.ShortDesc";"+6% Melee Acc.-1 Ini Randomness";"+6% Точн. рукоп., -1 Баз. разброс шансов";;"#000000";"#FFFFFF"
"TraitDefMeleeHit4.ShortDesc";"+8% Melee Acc.-2 Ini Randomness";"+8% Точн. рукоп., -2 Баз. разброс шансов";;"#000000";"#FFFFFF"
"TraitDefMeleeHit5.ShortDesc";"+10% Melee Acc.-2 Ini Randomness";"+10% Точн. рукоп., -2 Баз. разброс шансов";;"#000000";"#FFFFFF"
"TraitDefMeleeHit6.ShortDesc";"+12% Melee Acc.-3 Ini Randomness";"+12% Точн. рукоп., -3 Баз. разброс шансов";;"#000000";"#FFFFFF"
"TraitDefMeleeHit7.ShortDesc";"+14% Melee Acc.-3 Ini Randomness";"+14% Точн. рукоп., -3 Баз. разброс шансов";;"#000000";"#FFFFFF"
"TraitDefMeleeHit8.ShortDesc";"+16% Melee Acc.-4 Ini Randomness.";"+16% Точн. рукоп., -4 Баз. разброс шансов";;"#000000";"#FFFFFF"
"TraitDefMeleeHit9.ShortDesc";"+18% Melee Acc.-4 Ini Randomness";"+18% Точн. рукоп., -4 Баз. разброс шансов";;"#000000";"#FFFFFF"
"TraitDefTactics1.ShortDesc";"+0 Initiative, Sensor Roll, OP Acc. and Reduced Hesitation.";"+0 Инициативы, Проверки сенсоров, OfPush точн. и слабже Нерешительность";;"#000000";"#FFFFFF"
"TraitDefTactics10.ShortDesc";"+5 Initiative, Sensor Roll, OP Acc. and Reduced Hesitation.";"+5 Инициативы, Проверки сенсоров, OfPush точн. и слабже Нерешительность";;"#000000";"#FFFFFF"
"TraitDefTactics2.ShortDesc";"+1 Initiative, Sensor Roll, OP Acc. and Reduced Hesitation.";"+1 Инициативы, Проверки сенсоров, OfPush точн. и слабже Нерешительность";;"#000000";"#FFFFFF"
"TraitDefTactics3.ShortDesc";"+1 Initiative, Sensor Roll, OP Acc. and Reduced Hesitation.";"+1 Инициативы, Проверки сенсоров, OfPush точн. и слабже Нерешительность";;"#000000";"#FFFFFF"
"TraitDefTactics4.ShortDesc";"+2 Initiative, Sensor Roll, OP Acc. and Reduced Hesitation.";"+2 Инициативы, Проверки сенсоров, OfPush точн. и слабже Нерешительность";;"#000000";"#FFFFFF"
"TraitDefTactics5.ShortDesc";"+2 Initiative, Sensor Roll, OP Acc. and Reduced Hesitation.";"+2 Инициативы, Проверки сенсоров, OfPush точн. и слабже Нерешительность";;"#000000";"#FFFFFF"
"TraitDefTactics6.ShortDesc";"+3 Initiative, Sensor Roll, OP Acc. and Reduced Hesitation.";"+3 Инициативы, Проверки сенсоров, OfPush точн. и слабже Нерешительность";;"#000000";"#FFFFFF"
"TraitDefTactics7.ShortDesc";"+3 Initiative, Sensor Roll, OP Acc. and Reduced Hesitation.";"+3 Инициативы, Проверки сенсоров, OfPush точн. и слабже Нерешительность";;"#000000";"#FFFFFF"
"TraitDefTactics8.ShortDesc";"+4 Initiative, Sensor Roll, OP Acc. and Reduced Hesitation.";"+4 Инициативы, Проверки сенсоров, OfPush точн. и слабже Нерешительность";;"#000000";"#FFFFFF"
"TraitDefTactics9.ShortDesc";"+4 Initiative, Sensor Roll, OP Acc. and Reduced Hesitation.";"+4 Инициативы, Проверки сенсоров, OfPush точн. и слабже Нерешительность";;"#000000";"#FFFFFF"
"TraitDefWeaponHit1.ShortDesc";"+1% Base CTH, 10% Unjam";"+1% Баз. точность, 10% Расклин";;"#000000";"#FFFFFF"
"TraitDefWeaponHit10.ShortDesc";"+10% Base CTH, -9% Jam, 100% Unjam";"+10% Баз. точность, -9% Клин, 100% Расклин";;"#000000";"#FFFFFF"
"TraitDefWeaponHit2.ShortDesc";"+2% Base CTH, -1% Jam, 20% Unjam";"+2% Баз. точность, -1% Клин, 20% Расклин";;"#000000";"#FFFFFF"
"TraitDefWeaponHit3.ShortDesc";"+3% Base CTH, -2% Jam, 30% Unjam";"+3% Баз. точность, -2% Клин, 30% Расклин";;"#000000";"#FFFFFF"
"TraitDefWeaponHit4.ShortDesc";"+4% Base CTH, -3% Jam, 40% Unjam";"+4% Баз. точность, -3% Клин, 40% Расклин";;"#000000";"#FFFFFF"
"TraitDefWeaponHit5.ShortDesc";"+5% Base CTH, -4% Jam, 50% Unjam";"+5% Баз. точность, -4% Клин, 50% Расклин";;"#000000";"#FFFFFF"
"TraitDefWeaponHit6.ShortDesc";"+6% Base CTH, -5% Jam, 60% Unjam";"+6% Баз. точность, -5% Клин, 60% Расклин";;"#000000";"#FFFFFF"
"TraitDefWeaponHit7.ShortDesc";"+7% Base CTH, -6% Jam, 70% Unjam";"+7% Баз. точность, -6% Клин, 70% Расклин";;"#000000";"#FFFFFF"
"TraitDefWeaponHit8.ShortDesc";"+8% Base CTH, -7% Jam, 80% Unjam";"+8% Баз. точность, -7% Клин, 80% Расклин";;"#000000";"#FFFFFF"
"TraitDefWeaponHit9.ShortDesc";"+9% Base CTH, -8% Jam, 90% Unjam";"+9% Баз. точность, -8% Клин, 90% Расклин";;"#000000";"#FFFFFF"
