SolarisOffseasonRewardsGear,,,
Gear_Arm_Blade,Upgrade,1,1
Gear_Arm_Claws,Upgrade,1,1
Gear_armorslots_Hardened,Upgrade,1,1
Gear_armorslots_Spiked,Upgrade,1,1
Gear_Solaris_Spikes,Upgrade,3,1
Gear_Myomer_TSM,Upgrade,1,1
Gear_Industrial_TSM,Upgrade,1,1
Gear_Supercharger,Upgrade,1,1
Gear_FCS_Melee,Upgrade,1,1
Gear_FCS_Bloodsports,Upgrade,1,1
Gear_LegJet_Standard_Lower,JumpJet,1,1
Gear_LegJet_Standard_Upper,JumpJet,1,1
Gear_LegJet_Heavy_Lower,JumpJet,1,1
Gear_LegJet_Heavy_Upper,JumpJet,1,1
Gear_LegJet_Assault_Upper,JumpJet,1,1
Gear_JumpJet_Mechanical_4,JumpJet,1,1
Gear_JumpJet_Mechanical_6,JumpJet,1,1
Gear_JumpJet_Mechanical_9,JumpJet,1,1
Gear_JumpJet_Mechanical_10,JumpJet,1,1
Special_Shield_7,Upgrade,1,1
Special_Shield_8,Upgrade,1,1
Special_Shield_9,Upgrade,1,1
Special_Shield_10,Upgrade,1,1
Special_Weapon_Lance_3,Weapon,1,1
Special_Weapon_Lance_5,Weapon,1,1
Special_Weapon_Lance_7,Weapon,1,1
Special_Weapon_Lance_9,Weapon,1,1
Special_Weapon_Lance_10,Weapon,1,1
