id,type,path,version,addedOn,updatedOn,removedOn,assetBundleName,assetBundlePersistent,assetBundleCRC,<IsTemplate>k__BackingField,addendum
f402dddf4dc12ff686cd42db1aa0374e_cr,PortraitSettings,C:\Program Files (x86)\Steam\steamapps\common\BATTLETECH\Mods\CommanderPortraitLoader\Portraits\f402dddf4dc12ff686cd42db1aa0374e_cr.json,0,2018-11-30T10:12:29.8987320Z,2018-11-30T10:12:29.8987320Z,,,False,0,False,False
Femshep-mass-effect-3-artwork_cr,PortraitSettings,C:\Program Files (x86)\Steam\steamapps\common\BATTLETECH\Mods\CommanderPortraitLoader\Portraits\Femshep-mass-effect-3-artwork_cr.json,0,2018-11-30T10:12:29.9017336Z,2018-11-30T10:12:29.9017336Z,,,False,0,False,False
got_your_back_by_arlmuffin-d6vk1j3_cr,PortraitSettings,C:\Program Files (x86)\Steam\steamapps\common\BATTLETECH\Mods\CommanderPortraitLoader\Portraits\got_your_back_by_arlmuffin-d6vk1j3_cr.json,0,2018-11-30T10:12:29.9037321Z,2018-11-30T10:12:29.9037321Z,,,False,0,False,False
guiTxrPort_Aaeris_utr,PortraitSettings,C:\Program Files (x86)\Steam\steamapps\common\BATTLETECH\Mods\CommanderPortraitLoader\Portraits\guiTxrPort_Aaeris_utr.json,0,2018-11-30T10:12:29.9037321Z,2018-11-30T10:12:29.9037321Z,,,False,0,False,False
guiTxrPort_Apollo_utr,PortraitSettings,C:\Program Files (x86)\Steam\steamapps\common\BATTLETECH\Mods\CommanderPortraitLoader\Portraits\guiTxrPort_Apollo_utr.json,0,2018-11-30T10:12:29.9047319Z,2018-11-30T10:12:29.9047319Z,,,False,0,False,False
guiTxrPort_backerAlaniz_utr,PortraitSettings,C:\Program Files (x86)\Steam\steamapps\common\BATTLETECH\Mods\CommanderPortraitLoader\Portraits\guiTxrPort_backerAlaniz_utr.json,0,2018-11-30T10:12:29.9057311Z,2018-11-30T10:12:29.9057311Z,,,False,0,False,False
guiTxrPort_backerBemis_utr,PortraitSettings,C:\Program Files (x86)\Steam\steamapps\common\BATTLETECH\Mods\CommanderPortraitLoader\Portraits\guiTxrPort_backerBemis_utr.json,0,2018-11-30T10:12:29.9067312Z,2018-11-30T10:12:29.9067312Z,,,False,0,False,False
guiTxrPort_backerBixby_utr,PortraitSettings,C:\Program Files (x86)\Steam\steamapps\common\BATTLETECH\Mods\CommanderPortraitLoader\Portraits\guiTxrPort_backerBixby_utr.json,0,2018-11-30T10:12:29.9067312Z,2018-11-30T10:12:29.9067312Z,,,False,0,False,False
guiTxrPort_backerBono_utr,PortraitSettings,C:\Program Files (x86)\Steam\steamapps\common\BATTLETECH\Mods\CommanderPortraitLoader\Portraits\guiTxrPort_backerBono_utr.json,0,2018-11-30T10:12:29.9077308Z,2018-11-30T10:12:29.9077308Z,,,False,0,False,False
guiTxrPort_backerBozeman_utr,PortraitSettings,C:\Program Files (x86)\Steam\steamapps\common\BATTLETECH\Mods\CommanderPortraitLoader\Portraits\guiTxrPort_backerBozeman_utr.json,0,2018-11-30T10:12:29.9087309Z,2018-11-30T10:12:29.9087309Z,,,False,0,False,False
