"Blackout_DugInDeep.contractName";"Dug in Deep";"Глубоко закопанный";;"#000000";"#FFFFFF"
"Blackout_DugInDeep.dialogueList0.dialogueContent0.words";"Landing site secure. Let's do what we agreed, Commander. Scout out that data relay and take it from there. Good luck.";"Зона высадки безопасна. Давайте сделаем то, о чем договорились, командир. Найдите этот ретранслятор данных и изымите его. Удачи.";;"#000000";"#FFFFFF"
"Blackout_DugInDeep.dialogueList1.dialogueContent0.words";"Great job, Commander! Now they can re-establish their data relay.";"Отличная работа, командир! Теперь они смогут восстановить ретрансляцию данных.";;"#000000";"#FFFFFF"
"Blackout_DugInDeep.dialogueList2.dialogueContent0.words";"The loss of that data cache and relay station is bad news for {TEAM_EMP.FactionDef.ShortName}. Let's figure out our next step.";"Потеря кэша данных и ретрансляционной станции - плохая новость для {TEAM_EMP.FactionDef.ShortName}. Давайте разберемся, что делать дальше.";;"#000000";"#FFFFFF"
"Blackout_DugInDeep.dialogueList3.dialogueContent0.words";"No wonder the data steam cut off. This place has been slagged. Maybe there's more we can find out in the main compound.";"Неудивительно, что передача данных прервалась. Здесь всё в труху. Может быть в главном комплексе мы сможем прояснить ситуацию.";;"#000000";"#FFFFFF"
"Blackout_DugInDeep.dialogueList4.dialogueContent0.words";"*** DETECTED INCOMING FORCES OF UNKNOWN ORIGIN ****  ...  *** RED ALERT STATUS ***";"*** ОБНАРУЖЕНЫ ПРИБЛИЖАЮЩИЕСЯ НЕОПОЗНАННЫЕ ЦЕЛИ **** ... *** КРАСНАЯ ТРЕВОГА! ***";;"#000000";"#FFFFFF"
"Blackout_DugInDeep.dialogueList4.dialogueContent1.words";"Red alert status for unknown forces? They've got their defenses fully primed. What's going on?!";"Красная тревога для неизвестных сил? Их система защиты завелась на полную. Что происходит?!";;"#000000";"#FFFFFF"
"Blackout_DugInDeep.dialogueList5.dialogueContent0.words";"A lance of mechs?! We were told to expect minor resistance. Shit... Lance! Engage!";"Отряд мехов?! Нам сказали ожидать незначительного сопротивление. Вот же ж дерьмо... Всему отряду! В бой!";;"#000000";"#FFFFFF"
"Blackout_DugInDeep.dialogueList5.dialogueContent1.words";"Looks like we've walked into a full assault, Commander. Contacts are hostile and incoming.";"Похоже, мы начали полноценный штурм, командир. Враждебные контакты, прибилижаются.";;"#000000";"#FFFFFF"
"Blackout_DugInDeep.dialogueList5.dialogueContent2.words";"At least this data relay has some kind of turret defenses. They're booting up now.";"У этого ретранслятора хотя бы есть подобие защиты в виде турелей. Они сейчас запускаются.";;"#000000";"#FFFFFF"
"Blackout_DugInDeep.dialogueList6.dialogueContent0.words";"Is everything ok down there, Commander? Looks like those turrets were hacked. Something is definitely not right here. Let's move on to the next base.";"Как вы там внизу, командир? Похоже, эти турели были взломаны. Что-то здесь точно не так. Переходите к следующей базе.";;"#000000";"#FFFFFF"
"Blackout_DugInDeep.dialogueList7.dialogueContent0.words";"We either came at the right time or the worst time. Good job on dispatching that assault. I fear that's not the last of them though. Expect more OpFor, Commander.";"Мы либо появились в нужное время, либо в самое худшее. Хорошо сработали с развёртыванием штурма. Но боюсь, что это не последние из них. Ожидайте ещё противников, командир.";;"#000000";"#FFFFFF"
"Blackout_DugInDeep.dialogueList8.dialogueContent0.words";"{COMPANY.CompanyName}! We weren't expecting to see you - in one piece, anyway. What a sight for sore eyes. Welcome to the front lines!";"{COMPANY.CompanyName}! Мы не ожидали увидеть вас - во всяком случае, целыми. Какое зрелище для уставших глаз. Добро пожаловать на передовую!";;"#000000";"#FFFFFF"
"Blackout_DugInDeep.dialogueList8.dialogueContent1.words";"Front lines? Lucky us. We've been sent by {TEAM_EMP.FactionDef.ShortName} to aid and assist. How are you all doing in there? What's the sitrep?";"Передовую? Вот так свезло. {TEAM_EMP.FactionDef.ShortName} прислали нас для поддержки и помощи. Как у вас там дела? Какова обстановка?";;"#000000";"#FFFFFF"
"Blackout_DugInDeep.dialogueList8.dialogueContent2.words";"We first noticed our data streams were being interrupted then had the odd scout probe our defenses. You arrived right on time for the main event it seems.";"Сначала мы заметили, что наши потоки данных стали прерываться, затем кто-то прозондировал нашу защиту. Как мне кажется, вы ребята прибыли как раз к основному событию.";;"#000000";"#FFFFFF"
"Blackout_DugInDeep.dialogueList8.dialogueContent3.words";"We've got contacts! Incoming!";"У нас контакт! Наступают!";;"#000000";"#FFFFFF"
"Blackout_DugInDeep.longDescription";"Interrupted mid-stream? Not much does that, Commander. We better be ready for anything down there.";"Прерванная трансляция? Не густо, командир. Можно ожидать чего угодно там, внизу.";;"#000000";"#FFFFFF"
"Blackout_DugInDeep.objectiveList0.title";"Establish SitRep";"Доложите обстановку";;"#000000";"#FFFFFF"
"Blackout_DugInDeep.objectiveList1.description";"Survive the turrets in alpha base";"Устраните турели на базе альфа";;"#000000";"#FFFFFF"
"Blackout_DugInDeep.objectiveList1.title";"Survive the defenses";"Устраните силы обороны";;"#000000";"#FFFFFF"
"Blackout_DugInDeep.objectiveList2.description";"Link up with the main compound";"Соединитесь с основной группой";;"#000000";"#FFFFFF"
"Blackout_DugInDeep.objectiveList2.title";"Link up with the main compound";"Соединитесь с основной группой";;"#000000";"#FFFFFF"
"Blackout_DugInDeep.objectiveList3.description";"Destroy the lance that is invading";"Уничтожьте вторгающиеся силы врага";;"#000000";"#FFFFFF"
"Blackout_DugInDeep.objectiveList3.title";"Destroy invading lance";"Уничтожьте отряд вторжения";;"#000000";"#FFFFFF"
"Blackout_DugInDeep.objectiveList4.description";"Survive the hacked turrets in bravo base";"Уничтожьте взломанные турели на базе браво";;"#000000";"#FFFFFF"
"Blackout_DugInDeep.objectiveList4.title";"Destroy the hacked base turrets";"Уничтожьте турели взломанной базы";;"#000000";"#FFFFFF"
"Blackout_DugInDeep.shortDescription";"Last week, radio coms with a strategic outpost was interrupted mid datastream to one of the remote relays and we've been unable to reestablish contact. Our other units are all tied up, so we need you to make contact and get a sitrep.";"На прошлой неделе связь с аванпостом была прервана во время передачи данных через один из ретрансляторов и мы не смогли восстановить связь. Все другие подразделения заняты, поэтому нам нужны вы, чтобы установить контакт и разведать ситуацию.";;"#000000";"#FFFFFF"
"Blackout_HeavyStatic.contractName";"Heavy Static";"Сильные помехи";;"#000000";"#FFFFFF"
"Blackout_HeavyStatic.dialogueList0.dialogueContent0.words";"We've received very little intel on this situation. We just know they went dark and we assume jamming is involved. Careful out there, Commander.";"Очень мало данных о ситуации. Известно, что связь оборвалась и... полагаю, надо исходить из того, что её кто-то намеренно оборвал. Осторожнее там, командир.";;"#000000";"#FFFFFF"
"Blackout_HeavyStatic.dialogueList1.dialogueContent0.words";"Great job, Commander! They always say you can't judge these types of contracts.";"Отличная работа, командир! Как говорится, о контрактах не судят по обложке. А тут даже обложки не было.";;"#000000";"#FFFFFF"
"Blackout_HeavyStatic.dialogueList10.dialogueContent0.words";"It's me again, Commander! I've managed to activate our base defenses. Locked them all shortly before we lost control. Give them hell!";"Это снова я, командир! Мне удалось активировать оборону базы. Мы заблокировали ее незадолго до того, как потеряли контроль. Задайте им жару!";;"#000000";"#FFFFFF"
"Blackout_HeavyStatic.dialogueList11.dialogueContent0.words";"Commander! Are we glad to see you! {TEAM_EMP.FactionDef.Demonym} forward base {TGT_SYSTEM.name}-Alpha.";"Командир! Как же мы рады вас видеть! {TEAM_EMP.FactionDef.Name} переходят на базу {TGT_SYSTEM.name}-Альфа.";;"#000000";"#FFFFFF"
"Blackout_HeavyStatic.dialogueList11.dialogueContent1.words";"We've been holding off assaults on our position for the past few weeks. We've fallen back to this base but we can't hold out for much longer.";"Последние несколько недель мы сдерживали штурм наших позиций. Пришлось отступить на эту базу, но мы не продержимся долго.";;"#000000";"#FFFFFF"
"Blackout_HeavyStatic.dialogueList11.dialogueContent2.words";"We've got contacts! Incoming!";"Множество контактов! Сближаются!";;"#000000";"#FFFFFF"
"Blackout_HeavyStatic.dialogueList2.dialogueContent0.words";"The loss of that position will come at a bad time for {TEAM_EMP.FactionDef.ShortName}. No good news for us either.";"Потеря этой позиции придётся очень не кстати для {TEAM_EMP.FactionDef.ShortName}. Да и для нас тоже.";;"#000000";"#FFFFFF"
"Blackout_HeavyStatic.dialogueList3.dialogueContent0.words";"Strange. There looks like there's been fighting here but it was a least a few weeks ago. Let's look up on ahead. Maybe we'll find something at the other base.";"Странно. Похоже, здесь шел бой, но это было по крайней мере несколько недель назад. Давайте посмотрим дальше. Может, найдем что-нибудь на другой базе.";;"#000000";"#FFFFFF"
"Blackout_HeavyStatic.dialogueList4.dialogueContent0.words";"What's this?! The turrets are activating. Incoming fire, Commander!";"Что тут происходит?! Турели активируются. По нам ведут огонь, командир!";;"#000000";"#FFFFFF"
"Blackout_HeavyStatic.dialogueList5.dialogueContent0.words";"We were told to expect interference. Time to shut you out.";"Нас предупредили ожидать вмешательства. Настало время прихлопнуть вас.";;"#000000";"#FFFFFF"
"Blackout_HeavyStatic.dialogueList5.dialogueContent1.words";"This isn't good, Commander. You're surrounded!";"Это нехорошо, командир. Вас окружили!";;"#000000";"#FFFFFF"
"Blackout_HeavyStatic.dialogueList5.dialogueContent2.words";"Hey! That base's automated turrets are spinning up. Lucky us!";"Эй! Автоматические турели этой базы начали вращатся. Повезло, повезло!";;"#000000";"#FFFFFF"
"Blackout_HeavyStatic.dialogueList6.dialogueContent0.words";"Is everything ok down there, Commander? Looks like those turrets were hacked. Something is definitely not right here. Let's move on to the next base.";"Внизу все в порядке, командир? Похоже, эти турели были хакнуты. Что-то здесь точно не так. Давайте перейдём к следующей базе.";;"#000000";"#FFFFFF"
"Blackout_HeavyStatic.dialogueList7.dialogueContent0.words";"How did these guys get the jump on us? We've been getting too much bad intel. This is now officially a hot zone. Let's continue our investigation. Expect more OpFor, Commander.";"Как эти парни смогли свалиться на нас? Похоже, слишком много ложной информации нам скормили. Теперь это официально зона боевых действий. Продвигайтесь вперёд. Будьте готовы встретить больше противников, командир.";;"#000000";"#FFFFFF"
"Blackout_HeavyStatic.dialogueList8.dialogueContent0.words";"Unidentified BattleMech lance. Declare yourself. You are violating a {TEAM_EMP.FactionDef.Demonym} militarised zone";"Неопознанное копье мехов. Обозначте себя. Вы нарушаете миллитаризированную зону {TEAM_EMP.FactionDef.Name}";;"#000000";"#FFFFFF"
"Blackout_HeavyStatic.dialogueList8.dialogueContent1.words";"{TEAM_EMP.FactionDef.Demonym} radio operator. We are {COMPANY.CompanyName} and have been hired to check the sit rep here. You've been out of contact for weeks. Everything ok here?";"{TEAM_EMP.FactionDef.Name} радист. Мы - {COMPANY.CompanyName}, и нас наняли, чтобы проверить, есть ли здесь местный представитель. Ты уже несколько недель не выходишь на связь. Здесь все в порядке?";;"#000000";"#FFFFFF"
"Blackout_HeavyStatic.dialogueList8.dialogueContent2.words";"Everything's fi..***STATIC***";"Все в поря...***ШУМ***";;"#000000";"#FFFFFF"
"Blackout_HeavyStatic.dialogueList8.dialogueContent3.words";"Commander! It's a trap! Watch ou...***STATIC***";"Командир! Это ловушка! Осторож...*** ПОМЕХИ ***";;"#000000";"#FFFFFF"
"Blackout_HeavyStatic.dialogueList8.dialogueContent4.words";"Damn it! Gun them down now!";"Черт возьми! Пристрелите их сейчас же!";;"#000000";"#FFFFFF"
"Blackout_HeavyStatic.dialogueList9.dialogueContent0.words";"It's me again, Commander! I'm going to try and activate the turrets... ***BANG***";"Это снова я, командир! Я собираюсь попробовать включить турели... *** БАХ ***";;"#000000";"#FFFFFF"
"Blackout_HeavyStatic.dialogueList9.dialogueContent1.words";"That sorts you out. Thanks for unlocking those turrets for us.";"Все наладилось. Спасибо, что разблокировали нам турели.";;"#000000";"#FFFFFF"
"Blackout_HeavyStatic.dialogueList9.dialogueContent2.words";"Commander, this isn't good. Watch out for those base defenses!";"Командир, это нехорошо. Следите за обороной базы!";;"#000000";"#FFFFFF"
"Blackout_HeavyStatic.longDescription";"Forward base is a little misleading, Commander. I've heard rumours it's more a spy station. Let's go find out what's going on.";"Передовая база вводит в заблуждение, командир. Ходят слухи, что это больше шпионская станция. Давайте выясним, что происходит.";;"#000000";"#FFFFFF"
"Blackout_HeavyStatic.objectiveList0.title";"Investigate the Blackout";"Выясните причину отключения";;"#000000";"#FFFFFF"
"Blackout_HeavyStatic.objectiveList1.description";"Survive the turret trap in alpha base";"Выжить в ловушке на базе альфа";;"#000000";"#FFFFFF"
"Blackout_HeavyStatic.objectiveList1.title";"Survive the trap";"Выжить в ловушке";;"#000000";"#FFFFFF"
"Blackout_HeavyStatic.objectiveList2.description";"Follow the trail to the next base";"Иди по следу до следующей базы";;"#000000";"#FFFFFF"
"Blackout_HeavyStatic.objectiveList2.title";"Follow the Trail";"Иди по следу";;"#000000";"#FFFFFF"
"Blackout_HeavyStatic.objectiveList3.description";"Destroy the lance that is invading";"Уничтожьте вторгающиеся силы врага";;"#000000";"#FFFFFF"
"Blackout_HeavyStatic.objectiveList3.title";"Destroy invading lance";"Уничтожить отряд вторжения";;"#000000";"#FFFFFF"
