"Blackout_DugInDeep.contractName";"Dug in Deep";"Глубоко закопанный";;"#000000";"#FFFFFF"
"Blackout_DugInDeep.dialogueList0.dialogueContent0.words";"Landing site secure. Let's do what we agreed, Commander. Scout out that data relay and take it from there. Good luck.";"Landing site secure. Let's do what we agreed, Commander. Scout out that data relay and take it from there. Good luck.";;"#000000";"#FFFFFF"
"Blackout_DugInDeep.dialogueList1.dialogueContent0.words";"Great job, Commander! Now they can re-establish their data relay.";"Отличная работа, командир! Теперь они могут восстановить ретрансляцию данных.";;"#000000";"#FFFFFF"
"Blackout_DugInDeep.dialogueList2.dialogueContent0.words";"The loss of that data cache and relay station is bad news for {TEAM_EMP.FactionDef.ShortName}. Let's figure out our next step.";"Потеря кэша данных и ретрансляционной станции - плохая новость для {TEAM_EMP.FactionDef.ShortName}. Давайте разберемся с нашим следующим шагом.";;"#000000";"#FFFFFF"
"Blackout_DugInDeep.dialogueList3.dialogueContent0.words";"No wonder the data steam cut off. This place has been slagged. Maybe there's more we can find out in the main compound.";"No wonder the data steam cut off. This place has been slagged. Maybe there's more we can find out in the main compound.";;"#000000";"#FFFFFF"
"Blackout_DugInDeep.dialogueList4.dialogueContent0.words";"*** DETECTED INCOMING FORCES OF UNKNOWN ORIGIN ****  ...  *** RED ALERT STATUS ***";"*** ОБНАРУЖЕНЫ ПРИБЛИЖАЮЩИЕСЯ НЕОПОЗНАННЫЕ ЦЕЛИ **** ... *** БОЕВАЯ ТРЕВОГА! ***";;"#000000";"#FFFFFF"
"Blackout_DugInDeep.dialogueList4.dialogueContent1.words";"Red alert status for unknown forces? They've got their defenses fully primed. What's going on?!";"Red alert status for unknown forces? They've got their defenses fully primed. What's going on?!";;"#000000";"#FFFFFF"
"Blackout_DugInDeep.dialogueList5.dialogueContent0.words";"A lance of mechs?! We were told to expect minor resistance. Shit... Lance! Engage!";"Отряд мехов?! Нам было сказано ожидать незначительного сопротивления. Дерьмо... Отряд! Вступаем в бой!";;"#000000";"#FFFFFF"
"Blackout_DugInDeep.dialogueList5.dialogueContent1.words";"Looks like we've walked into a full assault, Commander. Contacts are hostile and incoming.";"Looks like we've walked into a full assault, Commander. Contacts are hostile and incoming.";;"#000000";"#FFFFFF"
"Blackout_DugInDeep.dialogueList5.dialogueContent2.words";"At least this data relay has some kind of turret defenses. They're booting up now.";"По крайней мере, у этого ретранслятора данных есть какая-то защита из турелей. Они сейчас загружаются.";;"#000000";"#FFFFFF"
"Blackout_DugInDeep.dialogueList6.dialogueContent0.words";"Is everything ok down there, Commander? Looks like those turrets were hacked. Something is definitely not right here. Let's move on to the next base.";"Внизу все в порядке, командир? Похоже, эти турели взломали. Что-то здесь точно не так. Переходим к следующей базе.";;"#000000";"#FFFFFF"
