"DefendBase_BeefedUpSecurity.contractName";"Beefed Up Security";"Beefed Up Security";;;
"DefendBase_BeefedUpSecurity.dialogueList0.dialogueContent0.words";"Looks like {TEAM_EMP.FactionDef.ShortName}'s intel was right.";"Looks like {TEAM_EMP.FactionDef.ShortName}'s intel was right.";;;
"DefendBase_BeefedUpSecurity.dialogueList0.dialogueContent1.words";"We're picking up {TEAM_TAR.FactionDef.Demonym} comm chatter from this area. Guessing they're the ones backing these raiders.";"We're picking up {TEAM_TAR.FactionDef.Demonym} comm chatter from this area. Guessing they're the ones backing these raiders.";;;
"DefendBase_BeefedUpSecurity.dialogueList0.dialogueContent2.words";"This could get ugly. Commander, priority one is to keep them away from the base. Oliveira out.";"This could get ugly. Commander, priority one is to keep them away from the base. Oliveira out.";;;
"DefendBase_BeefedUpSecurity.dialogueList1.dialogueContent0.words";"The base is secure. Hopefully {TEAM_EMP.FactionDef.ShortName} can hold it themselves, now.";"The base is secure. Hopefully {TEAM_EMP.FactionDef.ShortName} can hold it themselves, now.";;;
"DefendBase_BeefedUpSecurity.dialogueList2.dialogueContent0.words";"Raiders, we could handle. Unexpected {TEAM_TAR.FactionDef.Demonym} military units? Let's pack it in, Commander.";"Raiders, we could handle. Unexpected {TEAM_TAR.FactionDef.Demonym} military units? Let's pack it in, Commander.";;;
"DefendBase_BeefedUpSecurity.dialogueList3.dialogueContent0.words";"We're in Position! All engineers have disembarked from their vehicles. The APCs will scatter and support you. Keep the Turrets online and we'll keep firing";"We're in Position! All engineers have disembarked from their vehicles. The APCs will scatter and support you. Keep the Turrets online and we'll keep firing";;;
"DefendBase_BeefedUpSecurity.dialogueList4.dialogueContent0.words";"Warning commander, sensors are reading multiple contacts approaching from multiple vectors. Looks like the attacking force has brought reinforcements. ";"Warning commander, sensors are reading multiple contacts approaching from multiple vectors. Looks like the attacking force has brought reinforcements. ";;;
"DefendBase_BeefedUpSecurity.dialogueList5.dialogueContent0.words";"Be advised, some of the target buildings are sustaining damage. Your mission is to keep them standing. ";"Be advised, some of the target buildings are sustaining damage. Your mission is to keep them standing. ";;;
"DefendBase_BeefedUpSecurity.dialogueList6.dialogueContent0.words";"Commander, a target building has been demolished. Ensure the integrity of the remaining buildings.";"Commander, a target building has been demolished. Ensure the integrity of the remaining buildings.";;;
"DefendBase_BeefedUpSecurity.dialogueList7.dialogueContent0.words";"Only one building still standing, Commander. We're cutting it awfully close, here.";"Only one building still standing, Commander. We're cutting it awfully close, here.";;;
