"CaptureBase_DataPiracy.contractName";"Data Piracy";"Data Piracy";;;
"CaptureBase_DataPiracy.dialogueList0.dialogueContent0.words";"Commander, once you reach the base I'll be able to start extracting the data. It shouldn't take very long; I can't imagine their data security is very sophisticated.";"Commander, once you reach the base I'll be able to start extracting the data. It shouldn't take very long; I can't imagine their data security is very sophisticated.";;;
"CaptureBase_DataPiracy.dialogueList0.dialogueContent1.words";"Physical security, on the other hand... I'm seeing what looks like turrets around the facility.";"Physical security, on the other hand... I'm seeing what looks like turrets around the facility.";;;
"CaptureBase_DataPiracy.dialogueList0.dialogueContent2.words";"We should get eyes on that base before we charge in shooting. This should be a good vantage point.";"We should get eyes on that base before we charge in shooting. This should be a good vantage point.";;;
"CaptureBase_DataPiracy.dialogueList1.dialogueContent0.words";"Aaaand... done. That's all the data, Commander. I'm ready for extraction.";"Aaaand... done. That's all the data, Commander. I'm ready for extraction.";;;
"CaptureBase_DataPiracy.dialogueList2.dialogueContent0.words";"Damn! Commander, I didn't get the download.";"Damn! Commander, I didn't get the download.";;;
"CaptureBase_DataPiracy.dialogueList3.dialogueContent0.words";"Bogeys on sensors!";"Bogeys on sensors!";;;
"CaptureBase_DataPiracy.dialogueList4.dialogueContent0.words";"[GENERIC VO] Area is not clear, Commander. Eliminate the hostiles before continuing to the next Objective.";"[GENERIC VO] Area is not clear, Commander. Eliminate the hostiles before continuing to the next Objective.";;;
"CaptureBase_DataPiracy.dialogueList5.dialogueContent0.words";"[GENERIC VO] Sensors are clear, proceed to the next objective.";"[GENERIC VO] Sensors are clear, proceed to the next objective.";;;
"CaptureBase_DataPiracy.dialogueList6.dialogueContent0.words";"Dropship inbound for landing! We're going to get in and out quick!";"Dropship inbound for landing! We're going to get in and out quick!";;;
"CaptureBase_DataPiracy.dialogueList7.dialogueContent0.words";"Oh hey, just like I said. Turrets. Watch yourself, Commander.";"Oh hey, just like I said. Turrets. Watch yourself, Commander.";;;
"CaptureBase_DataPiracy.dialogueList8.dialogueContent0.words";"There's the facility, Commander. Move in and neutralize any defenses.";"There's the facility, Commander. Move in and neutralize any defenses.";;;
"CaptureBase_DataPiracy.dialogueList8.dialogueContent1.words";"Uh, folks? I just spotted more engine signatures -- 'Mechs powering up. More bad guys are on their way to you, boss.";"Uh, folks? I just spotted more engine signatures -- 'Mechs powering up. More bad guys are on their way to you, boss.";;;
"CaptureBase_DataPiracy.longDescription";"This shouldn't be too difficult, but we'll need Dr. Murad on the ground to do the actual data hacking. She's already agreed to go in with your team.";"This shouldn't be too difficult, but we'll need Dr. Murad on the ground to do the actual data hacking. She's already agreed to go in with your team.";;;
"CaptureBase_DataPiracy.objectiveList0.description";"The objective to scout the base that is being captured. Must be completed before the actual capture of the base.";"The objective to scout the base that is being captured. Must be completed before the actual capture of the base.";;;
"CaptureBase_DataPiracy.objectiveList0.title";"Scout the Facility";"Scout the Facility";;;
"CaptureBase_DataPiracy.objectiveList1.description";"The objective to optionally destroy the defenders of the base.";"The objective to optionally destroy the defenders of the base.";;;
"CaptureBase_DataPiracy.objectiveList1.title";"Destroy the {TEAM_TAR.FactionDef.Demonym} Defenders";"Destroy the {TEAM_TAR.FactionDef.Demonym} Defenders";;;
"CaptureBase_DataPiracy.objectiveList2.description";"The objective for the player to move into and capture the base.";"The objective for the player to move into and capture the base.";;;
"CaptureBase_DataPiracy.objectiveList2.title";"Capture the Base with Friendly 'Mechs";"Capture the Base with Friendly 'Mechs";;;
"CaptureBase_DataPiracy.objectiveList3.description";"HIDDEN TIMER, NO NEED TO EDIT: This is the hidden timer objective that will trigger the enemy reinforcements.";"HIDDEN TIMER, NO NEED TO EDIT: This is the hidden timer objective that will trigger the enemy reinforcements.";;;
"CaptureBase_DataPiracy.objectiveList3.title";"Hold Out as Enemies Counter Attack";"Hold Out as Enemies Counter Attack";;;
"CaptureBase_DataPiracy.objectiveList4.description";"This is a general objective to indicate the player must keep playing and eliminate enemies as they come.";"This is a general objective to indicate the player must keep playing and eliminate enemies as they come.";;;
"CaptureBase_DataPiracy.objectiveList4.title";"Pacify the Area around the Base";"Pacify the Area around the Base";;;
"CaptureBase_DataPiracy.objectiveList5.description";"The primary objective to destroy the force that tries to remove the player from the captured base.";"The primary objective to destroy the force that tries to remove the player from the captured base.";;;
"CaptureBase_DataPiracy.objectiveList5.title";"Destroy the {TEAM_TAR.FactionDef.Demonym} Reinforcements";"Destroy the {TEAM_TAR.FactionDef.Demonym} Reinforcements";;;
"CaptureBase_DataPiracy.objectiveList6.description";"The chunk controlled objective to destroy the turrets for the base, if the chunk is active.";"The chunk controlled objective to destroy the turrets for the base, if the chunk is active.";;;
"CaptureBase_DataPiracy.objectiveList6.title";"Eliminate Base Turrets";"Eliminate Base Turrets";;;
"CaptureBase_DataPiracy.shortDescription";"We've been monitoring communications traffic on {TGT_SYSTEM.name}, and discerned a pattern. There's a well-defended {TEAM_TAR.FactionDef.Demonym} base that we suspect of being a secure data storage facility. We'd like your team to land, capture the base, and take a complete image of the contents of their databases. Once the {TEAM_TAR.FactionDef.Demonym} forces realize what we're doing, they'll launch a counteroffensive, so we'll need you to stay in the field until the download is complete.";"We've been monitoring communications traffic on {TGT_SYSTEM.name}, and discerned a pattern. There's a well-defended {TEAM_TAR.FactionDef.Demonym} base that we suspect of being a secure data storage facility. We'd like your team to land, capture the base, and take a complete image of the contents of their databases. Once the {TEAM_TAR.FactionDef.Demonym} forces realize what we're doing, they'll launch a counteroffensive, so we'll need you to stay in the field until the download is complete.";;;
"CaptureBase_DataPiracy_Alt.contractName";"Data Piracy";"Data Piracy";;;
"CaptureBase_DataPiracy_Alt.dialogueList0.dialogueContent0.words";"Commander, once you reach the base I'll be able to start extracting the data. It shouldn't take very long; I can't imagine their data security is very sophisticated.";"Commander, once you reach the base I'll be able to start extracting the data. It shouldn't take very long; I can't imagine their data security is very sophisticated.";;;
"CaptureBase_DataPiracy_Alt.dialogueList0.dialogueContent1.words";"Physical security, on the other hand... I'm seeing what looks like turrets around the facility.";"Physical security, on the other hand... I'm seeing what looks like turrets around the facility.";;;
"CaptureBase_DataPiracy_Alt.dialogueList0.dialogueContent2.words";"We should get eyes on that base before we charge in shooting. This should be a good vantage point.";"We should get eyes on that base before we charge in shooting. This should be a good vantage point.";;;
"CaptureBase_DataPiracy_Alt.dialogueList1.dialogueContent0.words";"Aaaand... done. That's all the data, Commander. I'm ready for extraction.";"Aaaand... done. That's all the data, Commander. I'm ready for extraction.";;;
"CaptureBase_DataPiracy_Alt.dialogueList2.dialogueContent0.words";"Damn! Commander, I didn't get the download.";"Damn! Commander, I didn't get the download.";;;
